method,variant,benchmark,case_index,cells_per_side,cell_size,geometry_file,metric_status,native_symmetric_hausdorff,native_reconstruction_to_truth,native_truth_to_reconstruction,geometric_curvature_mean_absolute_error,geometric_curvature_rms_error,geometric_curvature_max_absolute_error,geometric_curvature_relative_l1_error,geometric_curvature_reconstructed_length,geometric_curvature_quadrature_samples
PCIC,bare PCIC (center translation),circles,0,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N32_case00.json,complete,0.007932959613077705,0.007932959613077705,0.007902545214495698,0.0013785861255818403,0.0019832178943451845,0.005017790390878393,0.013785861255818396,62.81562486881704,384
PCIC,bare PCIC (center translation),circles,1,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N32_case01.json,complete,0.00912729203000297,0.00912729203000297,0.009067118051056864,0.0013865013627904132,0.0017980896210303382,0.0041823260507928145,0.013865013627904151,62.82541948166545,416
PCIC,bare PCIC (center translation),circles,2,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N32_case02.json,complete,0.009996530369416404,0.009996530369416404,0.009499931328956502,0.001885648198618208,0.002289278120238641,0.007643354154377113,0.01885648198618208,62.851477740899455,416
PCIC,bare PCIC (center translation),circles,3,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N32_case03.json,complete,0.0947094898149782,0.007300560283888197,0.0947094898149782,0.001938782558095925,0.00271075187263049,0.008389406937502467,0.01938782558095923,62.56577814933934,432
PCIC,bare PCIC (center translation),circles,4,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N32_case04.json,complete,0.23652835888916746,0.008891452900557113,0.23652835888916746,0.0018112801709552564,0.0025646068355985015,0.012502231512846601,0.01811280170955256,62.32994746825873,432
PCIC,bare PCIC (center translation),circles,0,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N64_case00.json,complete,0.009857563003307713,0.009857563003307713,0.009692160170761702,0.0026305658453835046,0.0037857325615543056,0.011461191017110253,0.026305658453835087,62.86608588837325,800
PCIC,bare PCIC (center translation),circles,1,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N64_case01.json,complete,0.0018435368641567683,0.001495910116089304,0.0018435368641567683,0.0010790862767925385,0.0015434947537700473,0.004022736036564847,0.010790862767925373,62.82901759874914,800
PCIC,bare PCIC (center translation),circles,2,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N64_case02.json,complete,0.02734245401890826,0.002178780711001946,0.02734245401890826,0.0012314232226618717,0.001743554430184563,0.006360060493110983,0.012314232226618708,62.7744311045315,784
PCIC,bare PCIC (center translation),circles,3,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N64_case03.json,complete,0.004241684397156614,0.004241684397156614,0.0027839179725246167,0.0016884971631475633,0.0025066483997996545,0.008560775684207836,0.016884971631475624,62.915292459477364,832
PCIC,bare PCIC (center translation),circles,4,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N64_case04.json,complete,0.004040974571923874,0.0017162480671987011,0.004040974571923874,0.0016755353059381937,0.00223442693548849,0.007342392888290264,0.016755353059381934,62.81360840270327,832
PCIC,bare PCIC (center translation),circles,0,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N128_case00.json,complete,0.01148190323445355,0.0008403679589246928,0.01148190323445355,0.001334467594944572,0.0019331366898036261,0.0060709247961697604,0.013344675949445708,62.803623000175236,1616
PCIC,bare PCIC (center translation),circles,1,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N128_case01.json,complete,0.021065684785677927,0.0005495872643491935,0.021065684785677927,0.0012680840882658255,0.001905056267691894,0.011951408473618363,0.012680840882658233,62.78904293863421,1584
PCIC,bare PCIC (center translation),circles,2,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N128_case02.json,complete,0.027579709472445126,0.0006390801394725568,0.027579709472445126,0.0013358511490101546,0.0018819593244509842,0.006819174435665723,0.013358511490101527,62.77663759204781,1616
PCIC,bare PCIC (center translation),circles,3,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N128_case03.json,complete,0.019456890113505237,0.0030365685264915785,0.019456890113505237,0.001652132542488347,0.002629890484600463,0.013201643244623876,0.01652132542488348,62.79368129042601,1648
PCIC,bare PCIC (center translation),circles,4,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_circles_N128_case04.json,complete,0.0016031950687373855,0.0016031950687373855,0.0008802668960072767,0.0014904466340991285,0.002057505640887206,0.0070640408993324355,0.014904466340991272,62.84110439374466,1664
PCIC,bare PCIC (center translation),ellipses,0,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N32_case00.json,complete,0.021166923144990326,0.021166923144990326,0.020736751875419034,0.0014829515084835117,0.0021624673392383366,0.008467709611098176,0.03744105432873445,158.65849873097642,1024
PCIC,bare PCIC (center translation),ellipses,1,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N32_case01.json,complete,0.020099086468390218,0.01983889062119238,0.020099086468390218,0.0017609877170667151,0.0026211168312910414,0.009941564118790741,0.04383638734974006,156.43389835169899,992
PCIC,bare PCIC (center translation),ellipses,2,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N32_case02.json,complete,0.018180096072953116,0.016438098493917332,0.018180096072953116,0.0017610809232569884,0.002524631004122242,0.00945589891059967,0.043263934435393406,154.44620323602206,992
PCIC,bare PCIC (center translation),ellipses,3,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N32_case03.json,complete,0.03414875808517475,0.03414875808517475,0.03404369802815224,0.0018999543670967392,0.0028480646611647796,0.012812416352968467,0.04612212693872946,152.56227515680322,960
PCIC,bare PCIC (center translation),ellipses,4,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N32_case04.json,complete,0.038711366383795416,0.02695111013401382,0.038711366383795416,0.002028075852708274,0.003168122297507978,0.014021513341964678,0.04871681576219717,150.85861388690486,992
PCIC,bare PCIC (center translation),ellipses,0,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N64_case00.json,complete,0.0028443513586879432,0.0028443513586879432,0.0028263075000626967,0.0008359091667164296,0.0012127022214299913,0.00893420898519505,0.021106429382979044,158.6585105298012,2048
PCIC,bare PCIC (center translation),ellipses,1,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N64_case01.json,complete,0.0027562662260673687,0.0027562662260673687,0.002408079373557446,0.0008153697491486645,0.0011548616298052994,0.004743433587749132,0.020298460447829403,156.44262910555824,2016
PCIC,bare PCIC (center translation),ellipses,2,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N64_case02.json,complete,0.020636635850436395,0.0029206699712978675,0.020636635850436395,0.0009797269027775743,0.0013989434322183138,0.005721934740173171,0.02407688965923623,154.37574488610514,1968
PCIC,bare PCIC (center translation),ellipses,3,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N64_case03.json,complete,0.004475556279365764,0.004475556279365764,0.004472809845805781,0.0011437085418804609,0.0016714769590442874,0.008704531072223999,0.027769525329276085,152.55627026066526,1936
PCIC,bare PCIC (center translation),ellipses,4,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N64_case04.json,complete,0.05033480081606552,0.004579852151766146,0.05033480081606552,0.0012000350834516249,0.0019716118081217304,0.011479836790151354,0.028815767241402005,150.75570813571332,1952
PCIC,bare PCIC (center translation),ellipses,0,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N128_case00.json,complete,0.019572701939573497,0.0004999958426299931,0.019572701939573497,0.0007516045637160809,0.0010581682412171092,0.0041947462249031925,0.018979207061299956,158.58745625209087,4080
PCIC,bare PCIC (center translation),ellipses,1,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N128_case01.json,complete,0.03927714008312467,0.0006021372552964047,0.03927714008312467,0.0007601652432033696,0.0011428216502470806,0.009984461350180794,0.01892437208715775,156.29645549398438,3952
PCIC,bare PCIC (center translation),ellipses,2,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N128_case02.json,complete,0.0006309097391500913,0.0006309097391500913,0.0005932595857371749,0.0007280678061680945,0.0010457045798975167,0.004694004516495501,0.017892556494346158,154.4107883173327,3968
PCIC,bare PCIC (center translation),ellipses,3,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N128_case03.json,complete,0.03424602507885936,0.0007295413037779192,0.03424602507885936,0.0008551847327667193,0.001223672308794347,0.0061962336091337805,0.02077003159548085,152.37235268229395,3776
PCIC,bare PCIC (center translation),ellipses,4,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_ellipses_N128_case04.json,complete,0.051733376286317745,0.00046482763606471415,0.051733376286317745,0.00072427602270937,0.0010210843884045973,0.004179754922786591,0.017397080523930672,150.6289414567975,3840
PCIC,bare PCIC (center translation),lines,0,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N32_case00.json,complete,9.375,2.842241997313977e-10,9.375,,,,,,0
PCIC,bare PCIC (center translation),lines,1,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N32_case01.json,complete,9.679025765058348,0.0018814439939112697,9.679025765058348,,,,,,0
PCIC,bare PCIC (center translation),lines,2,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N32_case02.json,complete,10.69831977440256,0.00041465328332860007,10.69831977440256,,,,,,0
PCIC,bare PCIC (center translation),lines,3,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N32_case03.json,complete,12.860627072423341,0.000560710326291219,12.860627072423341,,,,,,0
PCIC,bare PCIC (center translation),lines,4,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N32_case04.json,complete,11.103478835775354,0.00018044956384265982,11.103478835775354,,,,,,0
PCIC,bare PCIC (center translation),lines,0,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N64_case00.json,complete,4.687500000000014,8.037659426918253e-11,4.687500000000014,,,,,,0
PCIC,bare PCIC (center translation),lines,1,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N64_case01.json,complete,4.839558440914623,0.00023398298366368396,4.839558440914623,,,,,,0
PCIC,bare PCIC (center translation),lines,2,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N64_case02.json,complete,5.349170176741821,0.0006164895787086321,5.349170176741821,,,,,,0
PCIC,bare PCIC (center translation),lines,3,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N64_case03.json,complete,6.430312401557309,0.0002993680650148451,6.430312401557309,,,,,,0
PCIC,bare PCIC (center translation),lines,4,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N64_case04.json,complete,5.551745444869537,0.00011049603960725475,5.551745444869537,,,,,,0
PCIC,bare PCIC (center translation),lines,0,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N128_case00.json,complete,2.34375,1.2882139799330616e-11,2.34375,,,,,,0
PCIC,bare PCIC (center translation),lines,1,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N128_case01.json,complete,2.4197781290517173,0.00016236361998713718,2.4197781290517173,,,,,,0
PCIC,bare PCIC (center translation),lines,2,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N128_case02.json,complete,2.674585286482927,0.0003090997359481328,2.674585286482927,,,,,,0
PCIC,bare PCIC (center translation),lines,3,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N128_case03.json,complete,3.2151573193476053,0.00018403763644423305,3.2151573193476053,,,,,,0
PCIC,bare PCIC (center translation),lines,4,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_lines_N128_case04.json,complete,2.7758812132027932,5.4238850588345504e-05,2.7758812132027932,,,,,,0
PCIC,bare PCIC (center translation),squares,0,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N32_case00.json,complete,0.9460951300725747,0.9460951300725747,0.8234517531593522,,,,,,0
PCIC,bare PCIC (center translation),squares,1,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N32_case01.json,complete,2.0899271267849824,0.8364365521679038,2.0899271267849824,,,,,,0
PCIC,bare PCIC (center translation),squares,2,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N32_case02.json,complete,1.0949906136995082,0.8665938752460065,1.0949906136995082,,,,,,0
PCIC,bare PCIC (center translation),squares,3,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N32_case03.json,complete,1.6035063033751193,0.771896551318113,1.6035063033751193,,,,,,0
PCIC,bare PCIC (center translation),squares,4,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N32_case04.json,complete,0.8363086698580622,0.8262739103185673,0.8363086698580622,,,,,,0
PCIC,bare PCIC (center translation),squares,0,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N64_case00.json,complete,0.38617071498808575,0.36113217203267806,0.38617071498808575,,,,,,0
PCIC,bare PCIC (center translation),squares,1,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N64_case01.json,complete,0.41698850767763856,0.3721572004248137,0.41698850767763856,,,,,,0
PCIC,bare PCIC (center translation),squares,2,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N64_case02.json,complete,0.3695872219348988,0.3695872219348988,0.3383894589265239,,,,,,0
PCIC,bare PCIC (center translation),squares,3,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N64_case03.json,complete,0.6073070374495279,0.45300866382973737,0.6073070374495279,,,,,,0
PCIC,bare PCIC (center translation),squares,4,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N64_case04.json,complete,0.5544827554602836,0.5544827554602836,0.4810381993953078,,,,,,0
PCIC,bare PCIC (center translation),squares,0,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N128_case00.json,complete,0.24741812383527223,0.24741812383527223,0.192946188582161,,,,,,0
PCIC,bare PCIC (center translation),squares,1,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N128_case01.json,complete,0.22474318014922892,0.22182121699447632,0.22474318014922892,,,,,,0
PCIC,bare PCIC (center translation),squares,2,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N128_case02.json,complete,0.235572139888922,0.16550930538898773,0.235572139888922,,,,,,0
PCIC,bare PCIC (center translation),squares,3,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N128_case03.json,complete,0.2189614009364379,0.2189614009364379,0.1447962983199741,,,,,,0
PCIC,bare PCIC (center translation),squares,4,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_squares_N128_case04.json,complete,0.4150331474274374,0.4150331474274374,0.26515935639794086,,,,,,0
PCIC,bare PCIC (center translation),zalesak,0,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N32_case00.json,complete,1.3351723024384823,1.3351723024384823,1.0007140840551547,,,,,,0
PCIC,bare PCIC (center translation),zalesak,1,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N32_case01.json,complete,1.7339547994689173,1.7339547994689173,0.9860035718204291,,,,,,0
PCIC,bare PCIC (center translation),zalesak,2,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N32_case02.json,complete,1.9407444838701229,1.9407444838701229,0.9408120862353888,,,,,,0
PCIC,bare PCIC (center translation),zalesak,3,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N32_case03.json,complete,1.155879727348868,1.155879727348868,0.9754662703713785,,,,,,0
PCIC,bare PCIC (center translation),zalesak,4,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N32_case04.json,complete,2.0685829224818204,2.0685829224818204,0.8815218111092257,,,,,,0
PCIC,bare PCIC (center translation),zalesak,0,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case00.json,complete,0.7820616713073025,0.48870624568482424,0.7820616713073025,,,,,,0
PCIC,bare PCIC (center translation),zalesak,1,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case01.json,complete,0.4526720077707304,0.368832345055451,0.4526720077707304,,,,,,0
PCIC,bare PCIC (center translation),zalesak,2,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case02.json,complete,0.9779165239182581,0.9779165239182581,0.4284122747932657,,,,,,0
PCIC,bare PCIC (center translation),zalesak,3,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case03.json,complete,0.7806683309545482,0.7806683309545482,0.4167530762245146,,,,,,0
PCIC,bare PCIC (center translation),zalesak,4,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case04.json,complete,0.9310819940757261,0.9310819940757261,0.5295700019457973,,,,,,0
PCIC,bare PCIC (center translation),zalesak,0,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N128_case00.json,complete,0.3908183988993888,0.23960605088904346,0.3908183988993888,,,,,,0
