method,variant,benchmark,cells_per_side,cases,native_symmetric_hausdorff_median,native_reconstruction_to_truth_median,native_truth_to_reconstruction_median,geometric_curvature_mean_absolute_error_median,geometric_curvature_rms_error_median,geometric_curvature_relative_l1_error_median,native_symmetric_hausdorff_order,geometric_curvature_mean_absolute_error_order
PCIC,bare PCIC (center translation),circles,32,5,0.009996530369416404,0.008891452900557113,0.009499931328956502,0.0018112801709552564,0.002289278120238641,0.01811280170955256,nan,nan
PCIC,bare PCIC (center translation),circles,64,5,0.004241684397156614,0.002178780711001946,0.004040974571923874,0.0016755353059381937,0.00223442693548849,0.016755353059381934,1.2367901651155635,0.11238763479952517
PCIC,bare PCIC (center translation),circles,128,5,0.019456890113505237,0.0008403679589246928,0.019456890113505237,0.0013358511490101546,0.0019331366898036261,0.013358511490101527,-2.1975719496516515,0.326862826126481
PCIC,bare PCIC (center translation),ellipses,32,5,0.021166923144990326,0.021166923144990326,0.020736751875419034,0.0017610809232569884,0.0026211168312910414,0.04383638734974006,nan,nan
PCIC,bare PCIC (center translation),ellipses,64,5,0.004475556279365764,0.0029206699712978675,0.004472809845805781,0.0009797269027775743,0.0013989434322183138,0.02407688965923623,2.241672657095306,0.8460096422619635
PCIC,bare PCIC (center translation),ellipses,128,5,0.03424602507885936,0.0006021372552964047,0.03424602507885936,0.0007516045637160809,0.0010581682412171092,0.01892437208715775,-2.9357976295860744,0.38240582967882625
PCIC,bare PCIC (center translation),lines,32,5,10.69831977440256,0.00041465328332860007,10.69831977440256,nan,nan,nan,nan,nan
PCIC,bare PCIC (center translation),lines,64,5,5.349170176741821,0.00023398298366368396,5.349170176741821,nan,nan,nan,0.9999972248623807,nan
PCIC,bare PCIC (center translation),lines,128,5,2.674585286482927,0.00016236361998713718,2.674585286482927,nan,nan,nan,0.999999893136616,nan
PCIC,bare PCIC (center translation),squares,32,5,1.0949906136995082,0.8364365521679038,1.0949906136995082,nan,nan,nan,nan,nan
PCIC,bare PCIC (center translation),squares,64,5,0.41698850767763856,0.3721572004248137,0.41698850767763856,nan,nan,nan,1.392838974800481,nan
PCIC,bare PCIC (center translation),squares,128,5,0.235572139888922,0.22182121699447632,0.22474318014922892,nan,nan,nan,0.8238386952556741,nan
PCIC,bare PCIC (center translation),zalesak,32,5,1.7339547994689173,1.7339547994689173,0.9754662703713785,nan,nan,nan,nan,nan
PCIC,bare PCIC (center translation),zalesak,64,5,0.7820616713073025,0.7806683309545482,0.4526720077707304,nan,nan,nan,1.1487120068119205,nan
PCIC,bare PCIC (center translation),zalesak,128,5,0.28792720023534135,0.23960605088904346,0.24207456429961988,nan,nan,nan,1.4415782936187078,nan
PCIC,bare PCIC (radius adjustment),circles,32,5,0.009203618290675415,0.008897642878150765,0.009142115696898186,0.0018280010586529654,0.0023376333125439343,0.01828001058652964,nan,nan
PCIC,bare PCIC (radius adjustment),circles,64,5,0.004237271056096681,0.002185894691902568,0.004042147562898041,0.0016847724737686452,0.002247478261282155,0.01684772473768642,1.119065730580724,0.11771313534762182
PCIC,bare PCIC (radius adjustment),circles,128,5,0.009604966396249304,0.0008405941847341623,0.009604966396249304,0.0013377947230714306,0.0019361504583699392,0.013377947230714324,-1.180645146385154,0.3326970108776351
PCIC,bare PCIC (radius adjustment),ellipses,32,5,0.021186203262192064,0.021186203262192064,0.020754452908278872,0.0017705997518745924,0.0026443703491728894,0.04407567167409831,nan,nan
PCIC,bare PCIC (radius adjustment),ellipses,64,5,0.004898715961160179,0.0029217472487101104,0.004898715961160179,0.000980820732041575,0.0014006315806056574,0.024103769849774512,2.112649519958153,0.8521767450829631
PCIC,bare PCIC (radius adjustment),ellipses,128,5,0.025084091512482292,0.000602201171972514,0.025084091512482292,0.0007518340888506832,0.0010584870503690133,0.018929278065184168,-2.3562971396102834,0.3835751442470391
PCIC,bare PCIC (radius adjustment),lines,32,5,10.69831977448161,0.00041465328332860007,10.69831977448161,nan,nan,nan,nan,nan
PCIC,bare PCIC (radius adjustment),lines,64,5,5.349170176742776,0.00023398314820956528,5.349170176742776,nan,nan,nan,0.9999972248727832,nan
