method_id,display_label,method,variant,case_index,cells_per_side,cell_size,native_symmetric_hausdorff,geometric_curvature_mean_absolute_error,facet_gap,mixed_cells,reconstructed_cells,unsupported_cells,unresolved_cells
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,0,32,3.125,0.007686243759298198,0.001062836803133287,0.00331627838906845,64,64,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,1,32,3.125,0.0062330232425772064,0.0012365569394624748,0.003554018492216181,62,62,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,2,32,3.125,0.011902332187096581,0.0013827770800821741,0.004464033981152754,62,62,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,3,32,3.125,0.01038495670679101,0.001555995063145504,0.004783226729420834,60,60,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,4,32,3.125,0.018418249727768395,0.0018375215676449163,0.006701990613261638,62,62,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,0,64,1.5625,0.0009631848730394884,0.0005288176540219284,0.00042530275036137266,128,128,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,1,64,1.5625,0.0010094452500104723,0.0005895532836297536,0.0004906319866675869,126,126,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,2,64,1.5625,0.001233733941624186,0.0006869149408435222,0.0005647738689812709,124,124,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,3,64,1.5625,0.0017199439204679894,0.0008219358854716257,0.000562200084586468,122,122,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,4,64,1.5625,0.0021364467465840647,0.0009047453642246239,0.0008385222897946481,124,124,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,0,128,0.78125,0.00013468312842758478,0.00025459420585063165,5.5615473603710755e-05,258,258,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,1,128,0.78125,0.00014231318976173695,0.0003086802002540704,5.705915414194652e-05,252,252,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,2,128,0.78125,0.0001832118744287341,0.00035256043095532375,6.945110757804856e-05,248,248,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,3,128,0.78125,0.00019966498688505757,0.00041030981550010427,7.078389664987233e-05,244,244,0,0
ours_per_cell,Ours: circular (per-cell),Ours,per-cell circular,4,128,0.78125,0.0002694262568834714,0.0004487860018686267,0.00010505753438301434,248,248,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,0,32,3.125,0.007686243759298198,0.001062836803133287,0.00331627838906845,64,64,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,1,32,3.125,0.0062330232425772064,0.0012365569394624748,0.003554018492216181,62,62,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,2,32,3.125,0.011902332187096581,0.0013827770800821741,0.004464033981152754,62,62,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,3,32,3.125,0.01038495670679101,0.001555995063145504,0.004783226729420834,60,60,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,4,32,3.125,0.018418249727768395,0.0018375215676449163,0.006701990613261638,62,62,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,0,64,1.5625,0.0009631848730394884,0.0005288176540219284,0.00042530275036137266,128,128,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,1,64,1.5625,0.0010094452500104723,0.0005895532836297536,0.0004906319866675869,126,126,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,2,64,1.5625,0.001233733941624186,0.0006869149408435222,0.0005647738689812709,124,124,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,3,64,1.5625,0.0017199439204679894,0.0008219358854716257,0.000562200084586468,122,122,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,4,64,1.5625,0.0021364467465840647,0.0009047453642246239,0.0008385222897946481,124,124,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,0,128,0.78125,0.00013468312842758478,0.00025459420585063165,5.5615473603710755e-05,258,258,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,1,128,0.78125,0.00014231318976173695,0.0003086802002540704,5.705915414194652e-05,252,252,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,2,128,0.78125,0.0001832118744287341,0.00035256043095532375,6.945110757804856e-05,248,248,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,3,128,0.78125,0.00019966498688505757,0.00041030981550010427,7.078389664987233e-05,244,244,0,0
ours_graph,Ours: circular (graph-coordinated),Ours,graph-coordinated circular,4,128,0.78125,0.0002694262568834714,0.0004487860018686267,0.00010505753438301434,248,248,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,0,32,3.125,0.001974011577367805,0.0011416299870121334,0.0,64,64,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,1,32,3.125,0.003066853908660894,0.0013184484849510258,0.0,62,62,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,2,32,3.125,0.003569650996053655,0.0015177072757873206,0.0,62,62,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,3,32,3.125,0.005024425483758663,0.0016782316035528363,0.0,60,60,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,4,32,3.125,0.0050441855539188766,0.0021348698167084007,0.0,62,62,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,0,64,1.5625,0.0002566351600470979,0.0005427047440933348,0.0,128,128,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,1,64,1.5625,0.000263197789650191,0.0006124726142047803,0.0,126,126,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,2,64,1.5625,0.00028509717670104664,0.0006999663911152268,0.0,124,124,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,3,64,1.5625,0.0004138391184613332,0.0008671552975165111,0.0,122,122,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,4,64,1.5625,0.0004749059625701957,0.000959093870326721,0.0,124,124,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,0,128,0.78125,2.9709477235206675e-05,0.0002558924556036525,0.0,258,258,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,1,128,0.78125,3.582892137418839e-05,0.0003053700477963346,0.0,252,252,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,2,128,0.78125,3.949769088798941e-05,0.00034945503494554486,0.0,248,248,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,3,128,0.78125,5.411768714314201e-05,0.0004132542936855413,0.0,244,244,0,0
ours_c0,Ours: circular (graph-coordinated + joint C0),Ours,graph-coordinated circular + joint C0,4,128,0.78125,6.627809897673443e-05,0.00045724741231375034,0.0,248,248,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,0,32,3.125,0.2722273913600205,0.020472160436891103,0.03684920029646832,64,64,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,1,32,3.125,0.11072605209334685,0.00412008289238132,0.013371530556286317,62,62,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,2,32,3.125,0.09343420032061504,0.008842847927778274,0.020174820538116135,62,62,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,3,32,3.125,0.025872561567986008,0.0018861913060492959,0.01424069596038624,60,60,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,4,32,3.125,0.135449551856483,0.017754417008115465,0.029349541897113085,62,62,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,0,64,1.5625,0.10647315683082803,0.017453996799899528,0.007729583855281108,128,128,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,1,64,1.5625,0.09518314250747807,0.0063004619700402185,0.003552376897243728,126,126,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,2,64,1.5625,0.11686330357046128,0.02332229118113327,0.00974125710116642,124,124,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,3,64,1.5625,0.016955741932143577,0.002260156583248544,0.0024154969696376636,122,122,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,4,64,1.5625,0.05100540357054508,0.002572494528354532,0.0023541494072434046,124,124,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,0,128,0.78125,0.014424392874878778,0.003055471556951052,0.0005194897601730989,258,258,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,1,128,0.78125,0.02431595968602401,0.0049621394912797824,0.0005766332669386107,252,252,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,2,128,0.78125,0.05057090511294996,0.018169454084746538,0.0014521812494270457,248,248,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,3,128,0.78125,0.05028959798830136,0.010553689230162432,0.0011608698104716712,244,244,0,0
plvira,PLVIRA,PLVIRA,PLVIRA,4,128,0.78125,0.06643940275446843,0.026558337642805522,0.0024266596847420906,248,248,0,0
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),0,32,3.125,0.021166923144990326,0.0014829515084835117,0.010316816273491625,64,64,0,0
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),1,32,3.125,0.020099086468390218,0.0017609877170667151,0.012097247525389664,62,62,0,0
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),2,32,3.125,0.018180096072953116,0.0017610809232569884,0.014092337239799269,62,62,0,0
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),3,32,3.125,0.03414875808517475,0.0018999543670967392,0.015982890323240836,60,60,0,0
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),4,32,3.125,0.038711366383795416,0.002028075852708274,0.014696159075576302,62,62,0,0
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),0,64,1.5625,0.0028443513586879432,0.0008359091667164296,0.0013757994203830448,128,128,0,0
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),1,64,1.5625,0.0027562662260673687,0.0008153697491486645,0.0016645900569280734,126,126,0,0
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),2,64,1.5625,0.020636635850436395,0.0009797269027775743,0.0017763724019430386,124,123,0,1
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),3,64,1.5625,0.004475556279365764,0.0011437085418804609,0.00200783020011596,122,121,0,1
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),4,64,1.5625,0.05033480081606552,0.0012000350834516249,0.0018341461424179843,124,122,0,2
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),0,128,0.78125,0.019572701939573497,0.0007516045637160809,0.00019027195938288379,258,255,0,3
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),1,128,0.78125,0.03927714008312467,0.0007601652432033696,0.00020126643871959805,252,247,0,5
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),2,128,0.78125,0.0006309097391500913,0.0007280678061680945,0.00023446148952182573,248,248,0,0
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),3,128,0.78125,0.03424602507885936,0.0008551847327667193,0.00026111708800560356,244,236,0,8
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),4,128,0.78125,0.051733376286317745,0.00072427602270937,0.00022229964620802055,248,240,0,8
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),0,32,3.125,0.021186203262192064,0.001489861466239078,0.01031986355613812,64,64,0,0
