method_id,display_label,method,variant,cells_per_side,case_count,native_symmetric_hausdorff_median,native_symmetric_hausdorff_q25,native_symmetric_hausdorff_q75,geometric_curvature_mean_absolute_error_median,geometric_curvature_mean_absolute_error_q25,geometric_curvature_mean_absolute_error_q75,facet_gap_median,facet_gap_q25,facet_gap_q75,mixed_cells,reconstructed_cells,unsupported_cells,unresolved_cells,reconstruction_coverage,native_symmetric_hausdorff_fit_order,geometric_curvature_mean_absolute_error_fit_order,facet_gap_fit_order
ours_per_cell,Ours (per-cell circular),Ours,per-cell circular,32,5,0.01038495670679101,0.007686243759298198,0.011902332187096581,0.0013827770800821741,0.0012365569394624748,0.001555995063145504,0.004464033981152754,0.003554018492216181,0.004783226729420834,310,310,0,0,1.0,2.91241919019883,0.9858130627518547,3.003103248586518
ours_per_cell,Ours (per-cell circular),Ours,per-cell circular,64,5,0.001233733941624186,0.0010094452500104723,0.0017199439204679894,0.0006869149408435222,0.0005895532836297536,0.0008219358854716257,0.000562200084586468,0.0004906319866675869,0.0005647738689812709,624,624,0,0,1.0,2.91241919019883,0.9858130627518547,3.003103248586518
ours_per_cell,Ours (per-cell circular),Ours,per-cell circular,128,5,0.0001832118744287341,0.00014231318976173695,0.00019966498688505757,0.00035256043095532375,0.0003086802002540704,0.00041030981550010427,6.945110757804856e-05,5.705915414194652e-05,7.078389664987233e-05,1250,1250,0,0,1.0,2.91241919019883,0.9858130627518547,3.003103248586518
ours_graph,Ours (graph-coordinated circular),Ours,graph-coordinated circular,32,5,0.01038495670679101,0.007686243759298198,0.011902332187096581,0.0013827770800821741,0.0012365569394624748,0.001555995063145504,0.004464033981152754,0.003554018492216181,0.004783226729420834,310,310,0,0,1.0,2.91241919019883,0.9858130627518547,3.003103248586518
ours_graph,Ours (graph-coordinated circular),Ours,graph-coordinated circular,64,5,0.001233733941624186,0.0010094452500104723,0.0017199439204679894,0.0006869149408435222,0.0005895532836297536,0.0008219358854716257,0.000562200084586468,0.0004906319866675869,0.0005647738689812709,624,624,0,0,1.0,2.91241919019883,0.9858130627518547,3.003103248586518
ours_graph,Ours (graph-coordinated circular),Ours,graph-coordinated circular,128,5,0.0001832118744287341,0.00014231318976173695,0.00019966498688505757,0.00035256043095532375,0.0003086802002540704,0.00041030981550010427,6.945110757804856e-05,5.705915414194652e-05,7.078389664987233e-05,1250,1250,0,0,1.0,2.91241919019883,0.9858130627518547,3.003103248586518
ours_c0,Ours (graph-coordinated circular + C0),Ours,graph-coordinated circular + guarded C0,32,5,0.003569650996053655,0.003066853908660894,0.005024425483758663,0.0014956971960842628,0.0013084168931874883,0.0016580058782946561,2.9227142969679952e-05,2.7220303041749125e-05,3.8151456977866546e-05,310,310,0,0,1.0,3.3105279696321235,1.05333715561168,2.22208490254251
ours_c0,Ours (graph-coordinated circular + C0),Ours,graph-coordinated circular + guarded C0,64,5,0.00028509717670104664,0.000263197789650191,0.00036636238837345266,0.0006962904854967998,0.0006082386471887748,0.00085223975806991,4.982807594748394e-06,4.424202339225848e-06,5.172810718212517e-06,624,624,0,0,1.0,3.3105279696321235,1.05333715561168,2.22208490254251
ours_c0,Ours (graph-coordinated circular + C0),Ours,graph-coordinated circular + guarded C0,128,5,3.626513651403665e-05,3.582892137418839e-05,4.790997724097066e-05,0.0003472734013393225,0.00030320130370535434,0.00040788063903414977,1.3426349462061386e-06,1.1383075274631625e-06,1.4303833510617614e-06,1250,1250,0,0,1.0,3.3105279696321235,1.05333715561168,2.22208490254251
plvira,PLVIRA,PLVIRA,PLVIRA,32,5,0.11072605209334685,0.09343420032061504,0.135449551856483,0.008842847927778274,0.00412008289238132,0.017754417008115465,0.020174820538116135,0.01424069596038624,0.029349541897113085,310,310,0,0,1.0,0.5693313898378839,-0.1275822114524774,2.059638874823419
plvira,PLVIRA,PLVIRA,PLVIRA,64,5,0.09518314250747807,0.05100540357054508,0.10647315683082803,0.0063004619700402185,0.002572494528354532,0.017453996799899528,0.003552376897243728,0.0024154969696376636,0.007729583855281108,624,624,0,0,1.0,0.5693313898378839,-0.1275822114524774,2.059638874823419
plvira,PLVIRA,PLVIRA,PLVIRA,128,5,0.05028959798830136,0.02431595968602401,0.05057090511294996,0.010553689230162432,0.0049621394912797824,0.018169454084746538,0.0011608698104716712,0.0005766332669386107,0.0014521812494270457,1250,1250,0,0,1.0,0.5693313898378839,-0.1275822114524774,2.059638874823419
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),32,5,0.021166923144990326,0.020099086468390218,0.03414875808517475,0.0017610809232569884,0.0017609877170667151,0.0018999543670967392,0.014092337239799269,0.012097247525389664,0.014696159075576302,310,310,0,0,1.0,-0.3470624862453828,0.614207735970395,2.9931307212813696
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),64,5,0.004475556279365764,0.0028443513586879432,0.020636635850436395,0.0009797269027775743,0.0008359091667164296,0.0011437085418804609,0.0017763724019430386,0.0016645900569280734,0.0018341461424179843,624,620,0,4,0.9935897435897436,-0.3470624862453828,0.614207735970395,2.9931307212813696
pcic_center,PCIC (center translation),PCIC,bare PCIC (center translation),128,5,0.03424602507885936,0.019572701939573497,0.03927714008312467,0.0007516045637160809,0.0007280678061680945,0.0007601652432033696,0.00022229964620802055,0.00020126643871959805,0.00023446148952182573,1250,1226,0,24,0.9808,-0.3470624862453828,0.614207735970395,2.9931307212813696
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),32,5,0.021186203262192064,0.020151715762799255,0.03420746958161928,0.0017705997518745924,0.0017702829162864156,0.001907272338681338,0.014097778570274671,0.012103746571501033,0.01470131684136118,310,310,0,0,1.0,-0.12182380982606354,0.6178759446650012,2.977343048175302
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),64,5,0.004898715961160179,0.002844619259856861,0.020636473435504614,0.000980820732041575,0.0008369087835429049,0.0011452668349598175,0.0017764922800797165,0.0016646419921524486,0.001843998085183167,624,620,0,4,0.9935897435897436,-0.12182380982606354,0.6178759446650012,2.977343048175302
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),128,5,0.025084091512482292,0.019572639464879336,0.0365869322025717,0.0007518340888506832,0.0007283410150113965,0.0007603623131737208,0.00022730634314124928,0.00020128136067607292,0.00023447024476138417,1250,1225,0,25,0.98,-0.12182380982606354,0.6178759446650012,2.977343048175302
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),32,5,1.722061657076816,1.6330164309480684,1.8056006239238,0.041254362032559964,0.031593626230887,0.049307001008064295,0.0,0.0,0.0,310,310,0,0,1.0,0.9544652346672095,-1.0597650803388037,nan
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),64,5,0.8982253814577202,0.8801591869744728,0.9009796532732733,0.1059441306121169,0.09102324571439273,0.10658301444574199,0.0,0.0,0.0,624,624,0,0,1.0,0.9544652346672095,-1.0597650803388037,nan
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),128,5,0.45856759955137744,0.4516544594895403,0.4708648736275202,0.17927182124052574,0.15136258988615167,0.20597232185725858,0.0,0.0,0.0,1250,1249,0,1,0.9992,0.9544652346672095,-1.0597650803388037,nan
