variant,case_index,native_symmetric_hausdorff_fit_order,geometric_curvature_mean_absolute_error_fit_order,production_facet_gap_fit_order
per-cell circular,0,2.917318843776082,1.0308242995275407,2.9489674890863005
per-cell circular,1,2.7263954042782896,1.00107191040277,2.98042450876796
per-cell circular,2,3.0107937334063664,0.9858130627518551,3.0031032485865223
per-cell circular,3,2.8503850133284656,0.961525955403244,3.0392095917884854
per-cell circular,4,3.0475508521457373,1.016830800482687,2.997669064856491
graph-coordinated circular,0,2.917318843776082,1.0308242995275407,2.9489674890863005
graph-coordinated circular,1,2.7263954042782896,1.00107191040277,2.98042450876796
graph-coordinated circular,2,3.0107937334063664,0.9858130627518551,3.0031032485865223
graph-coordinated circular,3,2.8503850133284656,0.961525955403244,3.0392095917884854
graph-coordinated circular,4,3.0475508521457373,1.016830800482687,2.997669064856491
graph-coordinated circular + guarded C0,0,3.0270317104790774,1.0765581327014662,2.5293825400835033
graph-coordinated circular + guarded C0,1,3.209745511194793,1.0547372147957685,2.414299574968126
graph-coordinated circular + guarded C0,2,3.3105279696321297,1.0533371556116795,2.834409365213553
graph-coordinated circular + guarded C0,3,3.356244351440777,1.0116150943247229,1.8349553523859246
graph-coordinated circular + guarded C0,4,3.1249726569774485,1.1145869506614003,2.3411732659827234
