cells_per_side,case_index,c0_geometry_exactly_matches_pre_c0,c0_geometry_matches_pre_c0_within_1e-12,native_primitive_kind_or_count_changed,maximum_native_parameter_change,c0_adjustment_events,c0_rejection_events
32,0,False,False,False,2.161879531156856,62,2
32,1,False,False,False,3.67183137527406,59,3
32,2,False,False,False,3.637926109733513,58,4
32,3,False,False,False,3.9623157034158325,58,2
32,4,False,False,False,6.674557684443059,60,2
64,0,False,False,False,1.3809439237567354,122,6
64,1,False,False,False,1.0034630924145702,122,4
64,2,False,False,False,1.1573966200526087,119,5
64,3,False,False,True,,113,9
64,4,False,False,False,2.0285461848588575,115,9
128,0,False,False,False,0.4515955759014467,244,14
128,1,False,False,True,,232,20
128,2,False,False,False,0.6187402483835633,235,13
128,3,False,False,True,,223,21
128,4,False,False,True,,221,27
