variant,case_index,native_symmetric_hausdorff_fit_order,geometric_curvature_mean_absolute_error_fit_order,production_facet_gap_fit_order
per-cell circular,0,2.917318843776082,1.0308242995275407,2.9489674890863005
per-cell circular,1,2.7263954042782896,1.00107191040277,2.98042450876796
per-cell circular,2,3.0107937334063664,0.9858130627518551,3.0031032485865223
per-cell circular,3,2.8503850133284656,0.961525955403244,3.0392095917884854
per-cell circular,4,3.0475508521457373,1.016830800482687,2.997669064856491
graph-coordinated circular,0,2.917318843776082,1.0308242995275407,2.9489674890863005
graph-coordinated circular,1,2.7263954042782896,1.00107191040277,2.98042450876796
graph-coordinated circular,2,3.0107937334063664,0.9858130627518551,3.0031032485865223
graph-coordinated circular,3,2.8503850133284656,0.961525955403244,3.0392095917884854
graph-coordinated circular,4,3.0475508521457373,1.016830800482687,2.997669064856491
graph-coordinated circular + joint C0,0,3.0270317104790774,1.0787428084341977,nan
graph-coordinated circular + joint C0,1,3.209745511194793,1.0551053675538513,nan
graph-coordinated circular + joint C0,2,3.2489354529877335,1.0593574114409918,nan
graph-coordinated circular + joint C0,3,3.2683573238120363,1.01092005687108,nan
graph-coordinated circular + joint C0,4,3.1249726569774485,1.1115505935986996,nan
