cells_per_side,case_index,c0_geometry_exactly_matches_pre_c0,c0_geometry_matches_pre_c0_within_1e-12,native_primitive_kind_or_count_changed,maximum_native_parameter_change,c0_adjustment_events,c0_rejection_events
32,0,False,False,False,3.070475348715963,68,2
32,1,False,False,False,7.520098989157503,68,3
32,2,False,False,False,6.431179850304339,70,4
32,3,False,False,False,10.009227293816437,64,2
32,4,False,False,False,16.600769553832038,66,2
64,0,False,False,False,1.3809439237567354,140,6
64,1,False,False,False,1.52087452366386,132,4
64,2,False,False,False,1.351863367315751,134,5
64,3,False,False,True,,138,9
64,4,False,False,False,4.565703331005877,142,9
128,0,False,False,False,0.880822352315171,286,14
128,1,False,False,True,,289,20
128,2,False,False,False,0.7684531585438314,273,13
128,3,False,False,True,,280,21
128,4,False,False,True,,295,27
