cells_per_side,case_index,native_geometry_exact,native_geometry_within_1e-12,maximum_native_parameter_delta,per_cell_merged_cells,graph_coordinated_merged_cells,graph_coordinated_merged_components
32,0,True,True,0.0,0,0,0
32,1,True,True,0.0,0,0,0
32,2,True,True,0.0,0,0,0
32,3,True,True,0.0,0,0,0
32,4,True,True,0.0,0,0,0
64,0,True,True,0.0,0,0,0
64,1,True,True,0.0,0,0,0
64,2,True,True,0.0,0,0,0
64,3,True,True,0.0,0,0,0
64,4,True,True,0.0,0,0,0
128,0,True,True,0.0,0,0,0
128,1,True,True,0.0,0,0,0
128,2,True,True,0.0,0,0,0
128,3,True,True,0.0,0,0,0
128,4,True,True,0.0,0,0,0
