method,variant,benchmark,case_index,cells_per_side,cell_size,source_run,source_commit,canonical_geometry_match,primitive_count,arc_count,line_count,native_symmetric_hausdorff,native_reconstruction_to_truth,native_truth_to_reconstruction,geometric_curvature_mean_absolute_error,geometric_curvature_rms_error,geometric_curvature_max_absolute_error,geometric_curvature_relative_l1_error,geometric_curvature_reconstructed_length,geometric_curvature_quadrature_samples
Ours,graph-coordinated circular,ellipses,0,32,3.125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p32_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,64,64,0,0.007686243759298198,0.007686243759298198,0.007286949171084596,0.001062836803133287,0.0016307649774138196,0.006844624899413766,0.026837208077869122,158.6565084240557,1024
Ours,graph-coordinated circular,ellipses,1,32,3.125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p32_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,62,62,0,0.0062330232425772064,0.0062330232425772064,0.005962708228622196,0.0012365569394624748,0.001900730904020902,0.008161082422072738,0.030788313901340264,156.43000415546476,992
Ours,graph-coordinated circular,ellipses,2,32,3.125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p32_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,62,62,0,0.011902332187096581,0.011902332187096581,0.011257064712518802,0.0013827770800821741,0.002128722160577644,0.009711498802945785,0.033982039502856005,154.4201482306903,992
Ours,graph-coordinated circular,ellipses,3,32,3.125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p32_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,60,60,0,0.01038495670679101,0.010140371779213477,0.01038495670679101,0.001555995063145504,0.002509282437814757,0.011337954457153576,0.03778367945651811,152.5646750553465,960
Ours,graph-coordinated circular,ellipses,4,32,3.125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p32_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,62,62,0,0.018418249727768395,0.018418249727768395,0.018240802805479496,0.0018375215676449163,0.002953121588598682,0.013831135752400192,0.04412030261060862,150.86085723155998,992
Ours,graph-coordinated circular,ellipses,0,64,1.5625,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p64_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,128,128,0,0.0009631848730394884,0.0009631848730394884,0.0009630883453657026,0.0005288176540219284,0.000800365584838954,0.0032809197906574633,0.01335301294689175,158.65422096047482,2048
Ours,graph-coordinated circular,ellipses,1,64,1.5625,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p64_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,126,126,0,0.0010094452500104723,0.0009894192777059137,0.0010094452500104723,0.0005895532836297536,0.000928312387969442,0.004265803607089919,0.014678163147891781,156.43461166155785,2016
Ours,graph-coordinated circular,ellipses,2,64,1.5625,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p64_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,124,124,0,0.001233733941624186,0.001233733941624186,0.0012334538992778581,0.0006869149408435222,0.001096962858065403,0.005174605677156427,0.016881171892000574,154.41345166898512,1984
Ours,graph-coordinated circular,ellipses,3,64,1.5625,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p64_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,122,122,0,0.0017199439204679894,0.0017199439204679894,0.0016415145060596496,0.0008219358854716257,0.0013380471459155472,0.005826414531588012,0.019957838328829636,152.56346646223767,1952
Ours,graph-coordinated circular,ellipses,4,64,1.5625,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r0p64_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,124,124,0,0.0021364467465840647,0.0021364467465840647,0.002133884397285929,0.0009047453642246239,0.0014813247906939084,0.007363778936761267,0.021724213735986656,150.87094370809876,1984
Ours,graph-coordinated circular,ellipses,0,128,0.78125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r1p28_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,258,258,0,0.00013468312842758478,0.00013468312842758478,0.00013248299138354642,0.00025459420585063165,0.0003856118031079794,0.0016531801265672053,0.006428660855668877,158.65454271452597,4128
Ours,graph-coordinated circular,ellipses,1,128,0.78125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r1p28_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,252,252,0,0.00014231318976173695,0.00014231318976173695,0.0001353659197179451,0.0003086802002540704,0.00048317164117595593,0.0023202057435850673,0.00768529441885141,156.43392242641696,4032
Ours,graph-coordinated circular,ellipses,2,128,0.78125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r1p28_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,248,248,0,0.0001832118744287341,0.0001832118744287341,0.00018301771190652944,0.00035256043095532375,0.0005663902595193414,0.0025995608315438623,0.008664343644429641,154.4113574201079,3968
Ours,graph-coordinated circular,ellipses,3,128,0.78125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r1p28_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,244,244,0,0.00019966498688505757,0.00019966498688505757,0.0001919566871592768,0.00041030981550010427,0.0006745096807087231,0.0032672686977584103,0.009962911593031623,152.563783319435,3904
Ours,graph-coordinated circular,ellipses,4,128,0.78125,submission_static_20260731_012430_505aefa45432_perturb_sweep_ellipses_circular_r1p28_w0p0_s0,505aefa454328d4ba34ade5e7247050a0acfc793,True,248,248,0,0.0002694262568834714,0.0002694262568834714,0.0002693183905245192,0.0004487860018686267,0.0007360723931768925,0.0038800487394946848,0.010776123095524313,150.8709050900834,3968
