method,variant,benchmark,case_index,random_seed,cells_per_side,cell_size,runtime_seconds,mixed_cells,reconstructed_cells,paper_fallback_cells,unsupported_cells,unresolved_cells,optimizer_failures,sampled_hausdorff,sampled_reconstruction_to_truth,shared_edge_gap_mean,shared_edge_gap_max,unmatched_crossings,conservation_mean_absolute_residual,conservation_max_absolute_residual,curvature_estimator_mean_absolute_error,curvature_estimator_median_absolute_error,curvature_estimator_max_absolute_error,curvature_estimator_samples,parameters_json,status_message
PLVIRA,PLVIRA,lines,0,42,32,3.125,0.04003612500000009,32,30,0,2,0,0,3.125,0.0012490007993619656,3.1606901004501007e-14,1.1368683772161603e-13,0,2.1197858283509656e-14,6.394884621840902e-14,1.8832603624711436e-14,1.4915713109076024e-14,5.96628524363041e-14,30,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""angle"": 0.0, ""p_left"": [50.773956048555966, 50.43887843975205], ""p_right"": [50.97395604855597, 50.43887843975205]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,0,42,64,1.5625,0.08959583299999974,64,62,0,2,0,0,1.5625,0.0012500000000059686,5.766012974751431e-14,2.4158453015843406e-13,0,1.1292042569816511e-14,3.4638958368304884e-14,1.1484864385678403e-13,1.193257048726082e-13,4.769390216097235e-13,62,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""angle"": 0.0, ""p_left"": [50.773956048555966, 50.43887843975205], ""p_right"": [50.97395604855597, 50.43887843975205]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,0,42,128,0.78125,0.2641439590000001,128,126,0,2,0,0,0.78125,0.0012500000000059686,8.157394203042538e-14,2.4158453015843406e-13,0,5.522478418125531e-15,1.765254609153999e-14,4.669028197577785e-13,4.769390216097235e-13,1.907756086438894e-12,126,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""angle"": 0.0, ""p_left"": [50.773956048555966, 50.43887843975205], ""p_right"": [50.97395604855597, 50.43887843975205]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,1,42,32,3.125,0.16537933300000018,40,38,0,2,0,0,3.2263620981796817,0.0012499828934679823,1.9507242668075537e-08,1.3608068627490884e-07,0,2.145213831134266e-15,2.6645352591003757e-14,7.421641644172168e-15,5.909040394788582e-15,2.718985020818761e-14,38,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""angle"": 0.25132741228718347, ""p_left"": [50.85859791991138, 50.69736802905936], ""p_right"": [51.058597919911385, 50.74871930113291]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,1,42,64,1.5625,0.35356416700000004,80,78,0,2,0,0,1.6131810490865452,0.0012499828924359335,1.2455455499230182e-08,1.6019268400668807e-07,0,7.610988050625422e-16,1.3322676295501878e-14,6.81780567121137e-14,5.404912472995349e-14,3.248732558309479e-13,78,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""angle"": 0.25132741228718347, ""p_left"": [50.85859791991138, 50.69736802905936], ""p_right"": [51.058597919911385, 50.74871930113291]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,1,42,128,0.78125,0.7645927090000004,161,158,0,3,0,0,0.806590524544574,0.0012499828943531804,6.816823808380005e-09,5.233427913253763e-08,0,3.601033413090209e-16,9.520162436160717e-15,5.444131721362201e-13,4.330541492124276e-13,2.5996471980199022e-12,158,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""angle"": 0.25132741228718347, ""p_left"": [50.85859791991138, 50.69736802905936], ""p_right"": [51.058597919911385, 50.74871930113291]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,2,42,32,3.125,0.25823099999999943,50,46,0,4,0,0,3.566103140141746,0.00124997584449074,6.854637450321023e-08,9.238790337207092e-07,0,2.8292585665583474e-15,2.842170943040401e-14,9.140447230963077e-15,4.957395397753839e-15,5.0247180513035106e-14,46,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""angle"": 0.5026548245743669, ""p_left"": [50.09417734788765, 50.97562235163676], ""p_right"": [50.294177347887654, 51.08557328207531]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,2,42,64,1.5625,0.47420066599999977,100,96,0,4,0,0,1.7830515680930428,0.0012499759056895435,1.7716622878902838e-08,3.1531902422443636e-07,0,1.5094714396248394e-15,2.65898414397725e-14,4.565954968970225e-14,2.998918203579395e-14,2.407702900588135e-13,96,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""angle"": 0.5026548245743669, ""p_left"": [50.09417734788765, 50.97562235163676], ""p_right"": [50.294177347887654, 51.08557328207531]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,2,42,128,0.78125,1.0058054169999995,199,195,0,4,0,0,0.8915257841877169,0.0012499759044388853,6.5871983247744606e-09,1.388387715905992e-07,0,8.86017660370473e-16,1.8859913630819847e-14,4.458824854085565e-13,3.207006405460178e-13,2.5675636015635277e-12,195,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""angle"": 0.5026548245743669, ""p_left"": [50.09417734788765, 50.97562235163676], ""p_right"": [50.294177347887654, 51.08557328207531]}, ""random_seed"": 42}",partial
PLVIRA,PLVIRA,lines,3,42,32,3.125,0.22869404200000076,63,55,0,8,0,0,8.573757175558342,0.0012499782526012415,2.373957277683456e-08,1.7534016194531432e-07,0,4.367702538027823e-15,5.1514348342607263e-14,3.995851762040557e-15,2.8184911434720423e-15,1.729848939305937e-14,55,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""angle"": 0.7539822368615504, ""p_left"": [50.76113970199035, 50.78606430527695], ""p_right"": [50.961139701990355, 50.97387680644045]}, ""random_seed"": 42}",partial
