method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json
PLVIRA,PLVIRA,circles,4,64,25,30,reconstructed,0.004327310445881971,0.004327310445877322,4.649058915617843e-15,0.10103302426111825,0.1,0.0010330242611182455,1.7418750562720434e-08,True,height_function,"{""curvature"": 0.10103302426111825, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.7418750562720434e-08, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,4,64,25,31,reconstructed,0.27618003062955765,0.27618003062957547,1.7819079545233762e-14,0.10095450541687462,0.1,0.0009545054168746125,1.876536316240325e-09,True,height_function,"{""curvature"": 0.10095450541687462, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.876536316240325e-09, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,4,64,25,32,reconstructed,0.42922989851406085,0.42922989851368404,3.7680969455777813e-13,0.10093444595272678,0.1,0.0009344459527267784,6.083867167207047e-09,True,height_function,"{""curvature"": 0.10093444595272678, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 6.083867167207047e-09, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,4,64,25,33,reconstructed,0.19913620285916167,0.19913620285914813,1.354472090042691e-14,0.10096515675240193,0.1,0.0009651567524019272,3.0934473880213754e-10,True,height_function,"{""curvature"": 0.10096515675240193, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 3.0934473880213754e-10, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,4,64,26,28,reconstructed,0.07966597909661789,0.07966597909661777,1.249000902703301e-16,0.10162185840256742,0.1,0.0016218584025674138,5.72044620299343e-07,True,height_function,"{""curvature"": 0.10162185840256742, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 5.72044620299343e-07, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,4,64,26,29,reconstructed,1.172447964553438,1.17244796455344,1.9984014443252818e-15,0.10120734623665938,0.1,0.0012073462366593707,4.402753634742998e-08,True,height_function,"{""curvature"": 0.10120734623665938, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 4.402753634742998e-08, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,4,64,26,30,reconstructed,2.1630533624569894,2.163053362456999,9.769962616701378e-15,0.10103302426111825,0.1,0.0010330242611182455,6.212319691857362e-10,True,height_function,"{""curvature"": 0.10103302426111825, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 6.212319691857362e-10, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,4,64,26,33,reconstructed,2.4393639350839202,2.4393639350839234,3.1086244689504383e-15,0.10096515675240193,0.1,0.0009651567524019272,4.927820591648049e-10,True,height_function,"{""curvature"": 0.10096515675240193, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 4.927820591648049e-10, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,4,64,26,34,reconstructed,2.002820308946699,2.002820308946698,1.3322676295501878e-15,0.10105868955777009,0.1,0.0010586895577700817,2.064957566100537e-09,True,height_function,"{""curvature"": 0.10105868955777009, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.064957566100537e-09, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,circles,4,64,26,35,reconstructed,0.9066442601723246,0.9066442601723022,2.2426505097428162e-14,0.10126318100717185,0.1,0.0012631810071718486,2.1117421411988734e-08,True,height_function,"{""curvature"": 0.10126318100717185, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.1117421411988734e-08, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
