method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json
PLVIRA,PLVIRA,ellipses,3,64,20,26,reconstructed,0.09805085719303275,0.0980508571930262,6.5503158452884236e-15,0.0226496371217403,0.02254043504586403,0.00010920207587626976,1.4083530481692203e-09,True,height_function,"{""curvature"": 0.0226496371217403, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.4083530481692203e-09, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,ellipses,3,64,20,27,reconstructed,0.32757072060240666,0.3275707206023999,6.772360450213455e-15,0.027098735191583786,0.02180398826387132,0.005294746927712465,2.4481623837450893e-05,True,mixed_height_parabola,"{""curvature"": 0.027098735191583786, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""parabola fit to consistent heights from both directions"", ""ghf_direction"": null, ""ghf_fit_points"": 3, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""mixed_height_parabola"", ""interval_count"": 1, ""objective"": 2.4481623837450893e-05, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,ellipses,3,64,20,28,reconstructed,0.47731920970381736,0.47731920970403674,2.1938006966593093e-13,-0.056058938844950904,0.021151190502279656,0.07721012934723057,0.00732553205294497,True,plic_centroid_parabola,"{""curvature"": -0.056058938844950904, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""parabola fit to 3x3 MYC PLIC fragment centroids"", ""ghf_direction"": null, ""ghf_fit_points"": 4, ""ghf_height_points"": 2, ""ghf_independent_points"": 3, ""ghf_method"": ""plic_centroid_parabola"", ""interval_count"": 1, ""objective"": 0.00732553205294497, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,ellipses,3,64,20,29,reconstructed,0.5460409855681803,0.5460409855703157,2.135402965564026e-12,0.1031788953492647,0.020635756676037165,0.08254313867322753,0.008315716574189138,True,plic_centroid_parabola,"{""curvature"": 0.1031788953492647, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""parabola fit to 3x3 MYC PLIC fragment centroids"", ""ghf_direction"": null, ""ghf_fit_points"": 4, ""ghf_height_points"": 2, ""ghf_independent_points"": 3, ""ghf_method"": ""plic_centroid_parabola"", ""interval_count"": 1, ""objective"": 0.008315716574189138, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,ellipses,3,64,20,30,reconstructed,0.5359338632439647,0.5359338632438928,7.194245199571014e-14,0.020269292523351166,0.020247278781543112,2.2013741808053766e-05,8.359765892599157e-18,True,height_function,"{""curvature"": 0.020269292523351166, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 8.359765892599157e-18, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,ellipses,3,64,20,31,reconstructed,0.4484591995240281,0.44845919952397106,5.700995231450179e-14,0.01999500357305528,0.01997411366615286,2.0889906902420846e-05,8.884739013277649e-17,True,height_function,"{""curvature"": 0.01999500357305528, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 8.884739013277649e-17, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,ellipses,3,64,20,32,reconstructed,0.2844058464459713,0.2844058464459713,0.0,0.019830857888708073,0.019810497277977575,2.036061073049794e-05,4.217171747244777e-11,True,height_function,"{""curvature"": 0.019830857888708073, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 4.217171747244777e-11, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,ellipses,3,64,20,33,reconstructed,0.06073360588715697,0.06073360588716242,5.4539706084710815e-15,0.019773577929458126,0.019755425612050476,1.815231740764922e-05,7.48858260605245e-14,True,height_function,"{""curvature"": 0.019773577929458126, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 7.48858260605245e-14, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,ellipses,3,64,21,21,reconstructed,0.0622725720300051,0.06227257202999997,5.127842594987442e-15,0.030334033456143425,0.0295262169699075,0.0008078164862359259,1.5944762426778015e-07,True,height_function,"{""curvature"": 0.030334033456143425, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.5944762426778015e-07, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,ellipses,3,64,21,22,reconstructed,0.6587074133918347,0.6587074133917907,4.39648317751562e-14,0.02813751021472321,0.02805700662388684,8.050359083636854e-05,2.9499584647026875e-08,True,height_function,"{""curvature"": 0.02813751021472321, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""x"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.9499584647026875e-08, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
