method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json
PLVIRA,PLVIRA,lines,3,32,0,0,unsupported,2.475619798402405e-05,,,,,,,,,"{""boundary_halo_limitation"": true, ""message"": ""PLVIRA requires a complete 3x3 target stencil""}"
PLVIRA,PLVIRA,lines,3,32,0,1,unsupported,5.201642669069536,,,,,,,,,"{""boundary_halo_limitation"": true, ""message"": ""PLVIRA requires a complete 3x3 target stencil""}"
PLVIRA,PLVIRA,lines,3,32,1,1,unsupported,0.0207158390952209,,,,,,,,,"{""boundary_halo_limitation"": true, ""message"": ""the Cartesian GHF source algorithm has no boundary-stencil policy; supply the required neighboring cells""}"
PLVIRA,PLVIRA,lines,3,32,1,2,unsupported,5.776044302798444,,,,,,,,,"{""boundary_halo_limitation"": true, ""message"": ""the Cartesian GHF source algorithm has no boundary-stencil policy; supply the required neighboring cells""}"
PLVIRA,PLVIRA,lines,3,32,2,2,reconstructed,0.08002358353821037,0.08002358353821026,1.1102230246251565e-16,-2.466179750537993e-16,0.0,2.466179750537993e-16,5.614752186268684e-19,True,height_function,"{""curvature"": -2.466179750537993e-16, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 5.614752186268684e-19, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,3,32,2,3,reconstructed,6.311829274981584,6.3118292749815845,8.881784197001252e-16,-2.466179750537993e-16,0.0,2.466179750537993e-16,1.2413268896679419e-17,True,height_function,"{""curvature"": -2.466179750537993e-16, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.2413268896679419e-17, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,3,32,3,3,reconstructed,0.17794798952697025,0.17794798952696989,3.608224830031759e-16,2.1138683576039944e-16,0.0,2.1138683576039944e-16,4.537617094996643e-22,True,height_function,"{""curvature"": 2.1138683576039944e-16, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 4.537617094996643e-22, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,3,32,3,4,reconstructed,6.808997585618968,6.808997585618967,8.881784197001252e-16,2.1138683576039944e-16,0.0,2.1138683576039944e-16,1.9825494724826004e-18,True,height_function,"{""curvature"": 2.1138683576039944e-16, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 1.9825494724826004e-18, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,3,32,4,4,reconstructed,0.3144890570614649,0.3144890570614638,1.1102230246251565e-15,-3.523113929339994e-16,0.0,3.523113929339994e-16,2.5348215003367774e-18,True,height_function,"{""curvature"": -3.523113929339994e-16, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 2.5348215003367774e-18, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,3,32,4,5,reconstructed,7.267549234710599,7.267549234710591,7.993605777301127e-15,-3.875425322273992e-16,0.0,3.875425322273992e-16,7.390256911663271e-21,True,height_function,"{""curvature"": -3.875425322273992e-16, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 7.390256911663271e-21, ""optimizer_message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""optimizer_success"": true}"
PLVIRA,PLVIRA,lines,3,32,5,5,reconstructed,0.48964678614174767,0.48964678614174795,2.7755575615628914e-16,-2.113868357604003e-16,0.0,2.113868357604003e-16,5.711479528866965e-16,True,height_function,"{""curvature"": -2.113868357604003e-16, ""curvature_source"": ""cartesian-ghf"", ""ghf_diagnostic"": ""complete three-column height function"", ""ghf_direction"": ""y"", ""ghf_fit_points"": 0, ""ghf_height_points"": 3, ""ghf_independent_points"": 3, ""ghf_method"": ""height_function"", ""interval_count"": 1, ""objective"": 5.711479528866965e-16, ""optimizer_message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""optimizer_success"": true}"
