benchmark,cells_per_side,cases,sampled_hausdorff_median,sampled_hausdorff_max,sampled_reconstruction_to_truth_median,sampled_reconstruction_to_truth_max,shared_edge_gap_mean_median,shared_edge_gap_mean_max,shared_edge_gap_max_median,shared_edge_gap_max_max,conservation_max_absolute_residual_median,conservation_max_absolute_residual_max,curvature_estimator_median_absolute_error_median,curvature_estimator_median_absolute_error_max,runtime_seconds_median,runtime_seconds_max,mixed_cells_total,reconstructed_cells_total,paper_fallback_cells_total,unsupported_cells_total,unresolved_cells_total,optimizer_failures_total,unmatched_crossings_total,unresolved_fraction
circles,32,5,0.1360651378674235,0.15407755553719035,0.1360651378674235,0.15407755553719035,0.03284461148935033,0.04810651601674211,0.16584325233034036,0.18496195839674812,8.171241461241152e-14,1.0502709812953981e-13,0.004453909552774103,0.005154425823224867,0.12949024999999637,0.14024883300000113,131,131,0,0,0,0,0,0.0
circles,64,5,0.0012970818808265019,0.0015171982171682007,0.0012970818808265019,0.0015171982171682007,0.00037936561504513776,0.0005943462682755297,0.002244282919214413,0.0027039319197399436,7.553957459549565e-13,1.2586998110464265e-10,0.0011901111206864476,0.001205191940668232,0.2613584580000037,0.27114949999999993,252,252,0,0,0,0,0,0.0
circles,128,5,0.0012499815728564923,0.0012500105542175323,0.0012499815728564923,0.0012500105542175323,2.155650730195191e-05,2.3657320331434034e-05,0.00011800991114085946,0.00030858258367061353,9.347522755831505e-13,6.6484595606652874e-12,0.0002808391782073011,0.0002815501133398013,0.5658215830000017,0.5780186249999986,511,511,0,0,0,0,0,0.0
ellipses,32,5,0.11100102719107283,0.27241208955485907,0.10349603927642835,0.27241208955485907,0.020174820538116135,0.03684920029646832,0.10839038551503677,0.44730730573600397,6.070699498650356e-13,1.334043986389588e-12,0.0026881462965191102,0.004886061440087446,0.306152333,0.38416983399999793,310,310,0,0,0,0,1,0.0
ellipses,64,5,0.09527436645368154,0.11704436444192072,0.09527436645368154,0.11704436444192072,0.003552376897243728,0.00974125710116642,0.11125921262909699,0.1851815946442521,8.288925101851419e-13,1.801225835151854e-11,0.00028811868128256896,0.0012919415569217028,0.6234056249999966,0.7386968750000023,624,624,0,0,0,0,1,0.0
ellipses,128,5,0.0504659603719822,0.0662274675365382,0.0504659603719822,0.0662274675365382,0.0011608698104716712,0.0024266596847420906,0.04917127365094842,0.08991281712820864,1.3086476347012876e-11,1.1186507276050861e-09,0.00015211257659491703,0.00018032250286020499,1.2861156670000042,1.301023832999995,1250,1250,0,0,0,0,1,0.0
lines,32,5,3.566103140141746,8.573757175558342,0.0012499782526012415,0.0012499988244580843,2.373957277683456e-08,8.124940812744354e-08,1.7534016194531432e-07,1.49326423581897e-06,3.042011087472929e-14,6.394884621840902e-14,4.957395397753839e-15,1.4915713109076024e-14,0.22869404200000076,0.25823099999999943,238,218,0,20,0,0,0,0.08403361344537816
lines,64,5,1.7830515680930428,2.1434392938705304,0.0012499828924359335,0.0012500000000059686,1.7716622878902838e-08,3.712461319987924e-08,3.1531902422443636e-07,1.4267146681845588e-06,3.4638958368304884e-14,5.1736392947532295e-14,3.591182476542797e-14,1.193257048726082e-13,0.47420066599999977,0.5135328749999992,474,458,0,16,0,0,0,0.03375527426160337
lines,128,5,0.8915257841877169,1.0717196469557189,0.0012499828943531804,0.0012500000000059686,6.816823808380005e-09,8.08748136512068e-08,1.388387715905992e-07,6.047305008749504e-06,1.504352198367087e-14,1.8859913630819847e-14,3.207006405460178e-13,4.769390216097235e-13,1.0058054169999995,1.0938485829999998,946,930,0,16,0,0,0,0.016913319238900635
squares,32,5,1.2141811295194331,1.9032904780030464,1.2141811295194331,1.9032904780030464,0.655826475240401,0.7760467546746561,1.4910888826762587,1.9031194594489378,2.504663143554353e-13,2.674864774121488e-10,0.07096979154605215,0.1995960844043493,0.08330033400000048,0.12112649999999903,85,85,0,0,0,0,20,0.0
squares,64,5,0.6363805062791306,0.7336907111568595,0.6363805062791306,0.7336907111568595,0.14269652433032387,0.19613695091299455,0.7531500232631032,1.4260733769947862,2.1538326677728037e-13,7.175648963908543e-13,1.1906347801729059e-13,7.039999748480988e-06,0.16648737500000266,0.2513777079999997,177,177,0,0,0,0,29,0.0
squares,128,5,0.2786911763568899,0.29598037152721646,0.2786911763568899,0.29598037152721646,0.035601241222328155,0.05343323318179654,0.4005759227997103,0.4144307083855523,1.4349632593280148e-14,1.1915468611789493e-13,4.75890913660568e-13,1.3274313203907237e-12,0.3778427079999993,0.5007298750000011,356,356,0,0,0,0,19,0.0
zalesak,32,5,1.8280059810822784,2.452981099508148,1.8280059810822784,2.452981099508148,0.20053206347796432,0.22227589689553567,1.5304673302751155,1.8976818015336008,2.504663143554353e-13,9.319442995092686e-10,0.03489209670328187,0.06666666666666667,0.29211775000000273,0.31482408300000486,284,284,0,0,0,0,51,0.0
zalesak,64,5,0.7268014848979096,0.9718520761395328,0.7268014848979096,0.9718520761395328,0.03514292664961177,0.04489310426032699,0.6049499695241636,0.9602401343920164,5.861977570020827e-13,2.6125768215479184e-12,0.0003054188411455161,0.00031757605905990277,0.5729021249999988,0.6114016249999992,583,583,0,0,0,0,27,0.0
zalesak,128,5,0.27944260359172596,0.3508311062050326,0.27689506855041246,0.3508311062050326,0.00788951702109666,0.01025439088968499,0.3404243721381164,0.3905544372853882,8.391204397995011e-13,2.5327517860773696e-12,7.265686944285532e-05,7.635722751099527e-05,1.1711251669999996,1.2417508750000081,1159,1159,0,0,0,0,27,0.0
