benchmark,case_index,cells_per_side,cell_a,cell_b,current_mismatch,admissible_root_count,dense_minimum_mismatch,dense_minimum_parameter
circles,2,64,"(26, 29)","(27, 29)",0.07873045435447928,0,0.020505915056974532,0.025390625
circles,2,64,"(26, 29)","(26, 30)",4.678878725424085e-12,1,0.0,0.4579910572013341
circles,2,64,"(26, 30)","(26, 31)",1.2219707404647963e-11,2,0.0,0.7384139802269964
circles,2,64,"(26, 31)","(26, 32)",8.737138594842225e-11,2,0.0,0.8526755012108651
circles,2,64,"(26, 32)","(26, 33)",6.723426797901548e-11,2,0.0,0.8093384695225723
circles,2,64,"(26, 33)","(26, 34)",1.180673526504044e-11,1,0.0,0.6051749952660339
circles,2,64,"(26, 34)","(26, 35)",1.9199206959592434e-11,2,0.0,0.22313122550145637
circles,2,64,"(26, 35)","(27, 35)",1.045811365698948e-11,1,0.0,0.42240282964869036
circles,2,64,"(27, 27)","(28, 27)",1.986069733340085e-11,1,0.0,0.7163513499909459
circles,2,64,"(27, 27)","(27, 28)",7.137832897547447e-12,1,0.0,0.26473377712847196
circles,2,64,"(27, 28)","(27, 29)",0.0002541922988659635,0,0.0002541922988659635,0.9857262955064425
circles,2,64,"(27, 35)","(27, 36)",3.262782083398648e-11,1,0.0,0.6238590890258638
circles,2,64,"(27, 36)","(28, 36)",9.961710449685784e-11,1,0.0,0.731344526363714
circles,2,64,"(28, 26)","(29, 26)",9.654362970338178e-10,2,0.0,0.8942870865240002
circles,2,64,"(28, 26)","(28, 27)",1.9251902132247837e-10,1,0.0,0.1540470007958447
circles,2,64,"(28, 36)","(28, 37)",3.367786335257186e-11,1,0.0,0.7166969319412828
circles,2,64,"(28, 37)","(29, 37)",9.877338222734475e-12,1,0.0,0.5534082116721902
circles,2,64,"(29, 26)","(30, 26)",4.8775280885440225e-12,1,0.0,0.3510809324282627
circles,2,64,"(29, 37)","(29, 38)",3.8182156539833495e-11,1,0.0,0.2127165436917676
circles,2,64,"(29, 38)","(30, 38)",2.7988289768600647e-11,2,0.0,0.09676869908973003
circles,2,64,"(30, 26)","(31, 26)",4.509079498926455e-09,2,0.0,0.012416654039539026
circles,2,64,"(30, 38)","(31, 38)",1.4334472952703722e-11,1,0.0,0.43494826983865553
circles,2,64,"(31, 25)","(32, 25)",8.91241963605847e-11,2,0.0,0.8268259183424698
circles,2,64,"(31, 25)","(31, 26)",1.8509475858491742e-05,0,1.8509475858491742e-05,0.9445722444116064
circles,2,64,"(31, 38)","(32, 38)",2.7633694391325518e-11,1,0.0,0.6007345575204226
circles,2,64,"(32, 25)","(33, 25)",7.172592741398636e-11,2,0.0,0.9255573387812638
circles,2,64,"(32, 38)","(33, 38)",2.44342308744547e-11,1,0.0,0.6075375999833205
circles,2,64,"(33, 25)","(34, 25)",4.692896079753884e-11,2,0.0,0.509649970495866
circles,2,64,"(33, 38)","(34, 38)",1.1804023364262281e-12,1,0.0,0.455879346640404
circles,2,64,"(34, 25)","(34, 26)",6.0020981717372166e-12,2,0.0,0.8120670450688567
circles,2,64,"(34, 26)","(35, 26)",9.027617001240946e-12,1,0.0,0.3287874855252676
circles,2,64,"(34, 38)","(35, 38)",2.840577949127261e-11,2,0.0,0.13360579178102852
circles,2,64,"(35, 26)","(36, 26)",8.852918565847258e-10,2,0.0,0.8356284225804483
circles,2,64,"(35, 37)","(36, 37)",2.874685758475867e-11,1,0.0,0.610116552084919
circles,2,64,"(35, 37)","(35, 38)",2.0046087805032516e-12,1,0.0,0.7004675817278713
circles,2,64,"(36, 26)","(36, 27)",2.4707674018772e-10,1,0.0,0.7602522570970723
circles,2,64,"(36, 27)","(37, 27)",1.919841836737855e-11,1,0.0,0.6303555539430045
circles,2,64,"(36, 36)","(37, 36)",7.709257284809621e-11,1,0.0,0.8171942608946893
circles,2,64,"(36, 36)","(36, 37)",1.8517020194170577e-11,1,0.0,0.196491224760166
