method,variant,benchmark,case_index,random_seed,cells_per_side,cell_size,runtime_seconds,mixed_cells,reconstructed_cells,paper_fallback_cells,unsupported_cells,unresolved_cells,optimizer_failures,sampled_hausdorff,sampled_reconstruction_to_truth,shared_edge_gap_mean,shared_edge_gap_max,unmatched_crossings,conservation_mean_absolute_residual,conservation_max_absolute_residual,curvature_estimator_mean_absolute_error,curvature_estimator_median_absolute_error,curvature_estimator_max_absolute_error,curvature_estimator_samples,parameters_json,status_message,conservative_fallback_cells,unresolved_events,joins,c1_updates,c1_misses,curvature_updates,vertex_jumps,sweeps_completed,sweep_converged,policy_json,unresolved_json
QUASI,QUASI (frozen Cartesian port),lines,0,42,32,3.125,0.4751175409999999,32,32,0,0,0,0,1.1378812762316741,1.1378812762316741,0.0,0.0,0,0.0,0.0,0.03557865611748795,2.2153835665104938e-05,0.43946309953121715,32,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""angle"": 0.0, ""p_left"": [50.773956048555966, 50.43887843975205], ""p_right"": [50.97395604855597, 50.43887843975205]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,31,310,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),lines,0,42,64,1.5625,0.9458001249999999,64,64,0,0,0,0,0.6169037716010521,0.6169037716010521,0.0,0.0,0,0.0,0.0,0.03739315674504856,1.1444091796875e-11,0.9301244938626159,64,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""angle"": 0.0, ""p_left"": [50.773956048555966, 50.43887843975205], ""p_right"": [50.97395604855597, 50.43887843975205]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,63,630,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),lines,0,42,128,0.78125,1.6266891250000004,128,128,0,0,0,0,0.24433218673140544,0.24433218673140544,0.0,0.0,0,0.0,0.0,0.03208613089587167,8.58306884765625e-12,1.5674733443360365,128,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""angle"": 0.0, ""p_left"": [50.773956048555966, 50.43887843975205], ""p_right"": [50.97395604855597, 50.43887843975205]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,127,1270,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),lines,1,42,32,3.125,0.5363338340000006,40,40,0,0,0,0,1.554857296520028,1.554857296520028,0.0,0.0,0,0.0,0.0,0.14096027000180683,9.645087159024224e-05,1.5145552940092675,40,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""angle"": 0.25132741228718347, ""p_left"": [50.85859791991138, 50.69736802905936], ""p_right"": [51.058597919911385, 50.74871930113291]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,39,390,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),lines,1,42,64,1.5625,1.3108380410000011,80,80,0,0,0,0,0.7974530169291894,0.7974530169291894,0.0,0.0,0,2.4286128663675298e-18,1.1102230246251565e-16,0.2231727567803569,5.027490833511878e-05,2.3512549090662427,80,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""angle"": 0.25132741228718347, ""p_left"": [50.85859791991138, 50.69736802905936], ""p_right"": [51.058597919911385, 50.74871930113291]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,79,789,1,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),lines,1,42,128,0.78125,2.2723090829999997,161,161,0,0,0,0,0.38348473313753295,0.38348473313753295,0.0,0.0,0,2.585923194002694e-19,1.3877787807814457e-17,0.4920646386407421,0.00011517346517188679,9.227682973170202,161,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""angle"": 0.25132741228718347, ""p_left"": [50.85859791991138, 50.69736802905936], ""p_right"": [51.058597919911385, 50.74871930113291]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,160,1598,2,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),lines,2,42,32,3.125,0.6897490830000006,50,48,2,0,0,0,1.7980282694162788,1.7980282694162788,0.0,0.0,1,5.551115123125783e-18,1.1102230246251565e-16,0.1630890091839787,0.00616168479707846,1.3927758736608864,50,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""angle"": 0.5026548245743669, ""p_left"": [50.09417734788765, 50.97562235163676], ""p_right"": [50.294177347887654, 51.08557328207531]}, ""random_seed"": 42}",complete_with_reported_fallback,2,1,48,480,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((0, 8), (1, 8))""]"
QUASI,QUASI (frozen Cartesian port),lines,2,42,64,1.5625,1.3807456669999993,100,99,0,0,1,0,0.8976338703352605,0.8976338703352605,0.0,0.0,0,4.2141514744689105e-18,1.1102230246251565e-16,0.297996757284733,0.008523372141757577,2.08822075141371,99,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""angle"": 0.5026548245743669, ""p_left"": [50.09417734788765, 50.97562235163676], ""p_right"": [50.294177347887654, 51.08557328207531]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,98,980,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),lines,2,42,128,0.78125,2.800591624999999,199,197,2,0,0,0,0.4486182751243281,0.4486182751243281,0.0,0.0,1,8.380773828270489e-19,5.551115123125783e-17,0.4893162886316772,0.009965607013287655,4.085211535249839,199,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""angle"": 0.5026548245743669, ""p_left"": [50.09417734788765, 50.97562235163676], ""p_right"": [50.294177347887654, 51.08557328207531]}, ""random_seed"": 42}",complete_with_reported_fallback,2,1,197,1960,10,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((0, 30), (1, 30))""]"
QUASI,QUASI (frozen Cartesian port),lines,3,42,32,3.125,0.8746705420000005,63,61,2,0,0,0,2.97802241065684,2.97802241065684,0.0,0.0,1,0.0,0.0,0.0271978416102636,1.1840829345446968e-07,0.5305459783648174,63,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""angle"": 0.7539822368615504, ""p_left"": [50.76113970199035, 50.78606430527695], ""p_right"": [50.961139701990355, 50.97387680644045]}, ""random_seed"": 42}",complete_with_reported_fallback,2,1,61,573,37,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((0, 1), (1, 1))""]"
