method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json,bulge,chord_length,conservative_fallback,fallback_reasons_json
QUASI,QUASI (frozen Cartesian port),circles,3,64,25,31,reconstructed,0.04915417865201199,0.04915417865201199,0.0,0.1001325127369338,0.1,0.00013251273693379306,,,,"{""bulge"": -0.010263209774604248, ""chord_length"": 0.9055220687491621, ""conservative_fallback"": false, ""curvature_midpoint"": 0.1001325127369338, ""fallback_reasons"": []}",-0.010263209774604248,0.9055220687491621,False,[]
QUASI,QUASI (frozen Cartesian port),circles,3,64,25,32,reconstructed,0.15907234130273196,0.15907234130273196,0.0,0.10026217948320297,0.1,0.000262179483202965,,,,"{""bulge"": -0.03060743455300263, ""chord_length"": 1.5627513680364291, ""conservative_fallback"": false, ""curvature_midpoint"": 0.10026217948320297, ""fallback_reasons"": []}",-0.03060743455300263,1.5627513680364291,False,[]
QUASI,QUASI (frozen Cartesian port),circles,3,64,25,33,reconstructed,0.019664341699669574,0.019664341699669574,0.0,0.09987522326027212,0.1,0.00012477673972788317,,,,"{""bulge"": -0.003739742152558574, ""chord_length"": 0.5473144844169441, ""conservative_fallback"": false, ""curvature_midpoint"": 0.09987522326027212, ""fallback_reasons"": []}",-0.003739742152558574,0.5473144844169441,False,[]
QUASI,QUASI (frozen Cartesian port),circles,3,64,26,28,reconstructed,0.020666188066862157,0.020666188066862157,0.0,0.10056138911352887,0.1,0.0005613891135288623,,,,"{""bulge"": -0.0011286298491570254, ""chord_length"": 0.29964368374792855, ""conservative_fallback"": false, ""curvature_midpoint"": 0.10056138911352887, ""fallback_reasons"": []}",-0.0011286298491570254,0.29964368374792855,False,[]
QUASI,QUASI (frozen Cartesian port),circles,3,64,26,29,reconstructed,0.9181554829778396,0.9181554829778396,0.0,0.100333550152158,0.1,0.00033355015215799644,,,,"{""bulge"": -0.03850719390856555, ""chord_length"": 1.7522369724432094, ""conservative_fallback"": false, ""curvature_midpoint"": 0.100333550152158, ""fallback_reasons"": []}",-0.03850719390856555,1.7522369724432094,False,[]
QUASI,QUASI (frozen Cartesian port),circles,3,64,26,30,reconstructed,1.9071032603129137,1.9071032603129137,0.0,0.10032941358728728,0.1,0.000329413587287275,,,,"{""bulge"": -0.033550535926943646, ""chord_length"": 1.6356131272551329, ""conservative_fallback"": false, ""curvature_midpoint"": 0.10032941358728728, ""fallback_reasons"": []}",-0.033550535926943646,1.6356131272551329,False,[]
QUASI,QUASI (frozen Cartesian port),circles,3,64,26,31,reconstructed,2.403044632491462,2.403044632491462,0.0,0.1001071799674409,0.1,0.0001071799674408902,,,,"{""bulge"": -0.005675367897684991, ""chord_length"": 0.6734562526456799, ""conservative_fallback"": false, ""curvature_midpoint"": 0.1001071799674409, ""fallback_reasons"": []}",-0.005675367897684991,0.6734562526456799,False,[]
QUASI,QUASI (frozen Cartesian port),circles,3,64,26,33,reconstructed,2.3438689668034565,2.3438689668034565,0.0,0.10022064412250996,0.1,0.00022064412250995258,,,,"{""bulge"": -0.013568712115784596, ""chord_length"": 1.0407243424559673, ""conservative_fallback"": false, ""curvature_midpoint"": 0.10022064412250996, ""fallback_reasons"": []}",-0.013568712115784596,1.0407243424559673,False,[]
QUASI,QUASI (frozen Cartesian port),circles,3,64,26,34,reconstructed,1.7226093005609169,1.7226093005609169,0.0,0.10013292882748494,0.1,0.00013292882748493218,,,,"{""bulge"": -0.03432914203916439, ""chord_length"": 1.6561055351029752, ""conservative_fallback"": false, ""curvature_midpoint"": 0.10013292882748494, ""fallback_reasons"": []}",-0.03432914203916439,1.6561055351029752,False,[]
QUASI,QUASI (frozen Cartesian port),circles,3,64,26,35,reconstructed,0.6238972605365127,0.6238972605365127,0.0,0.1010729948846672,0.1,0.0010729948846671944,,,,"{""bulge"": -0.03494635884823894, ""chord_length"": 1.6631384050578122, ""conservative_fallback"": false, ""curvature_midpoint"": 0.1010729948846672, ""fallback_reasons"": []}",-0.03494635884823894,1.6631384050578122,False,[]
