method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json,bulge,chord_length,conservative_fallback,fallback_reasons_json
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,53,reconstructed,0.005490117919377757,0.005490117919377757,0.0,0.02309775968163134,0.02304710172354442,5.065795808692139e-05,,,,"{""bulge"": -0.00020722151526773188, ""chord_length"": 0.2679029444213232, ""conservative_fallback"": false, ""curvature_midpoint"": 0.02309775968163134, ""fallback_reasons"": []}",-0.00020722151526773188,0.2679029444213232,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,54,reconstructed,0.07684187153449118,0.07684187153449118,0.0,0.022846307355041638,0.022838143106204804,8.164248836834559e-06,,,,"{""bulge"": -0.0017788066967836945, ""chord_length"": 0.7892259632160409, ""conservative_fallback"": false, ""curvature_midpoint"": 0.022846307355041638, ""fallback_reasons"": []}",-0.0017788066967836945,0.7892259632160409,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,55,reconstructed,0.15870170754818133,0.15870170754818133,0.0,0.022551751004672597,0.022554666191521855,2.915186849257456e-06,,,,"{""bulge"": -0.001747463965053746, ""chord_length"": 0.787333941435978, ""conservative_fallback"": false, ""curvature_midpoint"": 0.022551751004672597, ""fallback_reasons"": []}",-0.001747463965053746,0.787333941435978,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,56,reconstructed,0.22954977204234228,0.22954977204234228,0.0,0.022304220558961356,0.02230409310149666,1.2745746469713937e-07,,,,"{""bulge"": -0.001721219252511834, ""chord_length"": 0.7857231798376122, ""conservative_fallback"": false, ""curvature_midpoint"": 0.022304220558961356, ""fallback_reasons"": []}",-0.001721219252511834,0.7857231798376122,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,57,reconstructed,0.28957529400769577,0.28957529400769577,0.0,0.02208419916794141,0.022084828888581067,6.297206396575772e-07,,,,"{""bulge"": -0.0016984087337809297, ""chord_length"": 0.7843777632485887, ""conservative_fallback"": false, ""curvature_midpoint"": 0.02208419916794141, ""fallback_reasons"": []}",-0.0016984087337809297,0.7843777632485887,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,58,reconstructed,0.338939780507601,0.338939780507601,0.0,0.021895134219380347,0.02189551262238285,3.784030025016927e-07,,,,"{""bulge"": -0.0016791795307869912, ""chord_length"": 0.783284898166496, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021895134219380347, ""fallback_reasons"": []}",-0.0016791795307869912,0.783284898166496,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,59,reconstructed,0.3777788706084466,0.3777788706084466,0.0,0.021734591538798847,0.02173499697851283,4.0543971398243617e-07,,,,"{""bulge"": -0.0016632476364979664, ""chord_length"": 0.7824339918517681, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021734591538798847, ""fallback_reasons"": []}",-0.0016632476364979664,0.7824339918517681,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,60,reconstructed,0.40620384594941417,0.40620384594941417,0.0,0.021601999372667074,0.021602331512691912,3.3214002483766825e-07,,,,"{""bulge"": -0.0016504930847315335, ""chord_length"": 0.7818165749106327, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021601999372667074, ""fallback_reasons"": []}",-0.0016504930847315335,0.7818165749106327,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,61,reconstructed,0.4243028386494025,0.4243028386494025,0.0,0.021496369252927704,0.021496749157343367,3.799044156621578e-07,,,,"{""bulge"": -0.0016407822402348265, ""chord_length"": 0.7814260950379454, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021496369252927704, ""fallback_reasons"": []}",-0.0016407822402348265,0.7814260950379454,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,62,reconstructed,0.43214176798320614,0.43214176798320614,0.0,0.0214172756724901,0.0214176555918019,3.7991931179856553e-07,,,,"{""bulge"": -0.0016340410405029818, ""chord_length"": 0.781257788898075, ""conservative_fallback"": false, ""curvature_midpoint"": 0.0214172756724901, ""fallback_reasons"": []}",-0.0016340410405029818,0.781257788898075,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,63,reconstructed,0.42976502950816664,0.42976502950816664,0.0,0.021370129283146553,0.021364621216652724,5.508066493829095e-06,,,,"{""bulge"": -0.0016306560540838679, ""chord_length"": 0.7813085957485159, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021370129283146553, ""fallback_reasons"": []}",-0.0016306560540838679,0.7813085957485159,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,64,reconstructed,0.4171959536701102,0.4171959536701102,0.0,0.021314476527807397,0.021337375538842723,2.2899011035325267e-05,,,,"{""bulge"": -0.001627526900832741, ""chord_length"": 0.7815769552659206, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021314476527807397, ""fallback_reasons"": []}",-0.001627526900832741,0.7815769552659206,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,65,reconstructed,0.3944370450339153,0.3944370450339153,0.0,0.021415719631939535,0.021335803819034292,7.991581290524297e-05,,,,"{""bulge"": -0.001637296244346721, ""chord_length"": 0.7820639912523469, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021415719631939535, ""fallback_reasons"": []}",-0.001637296244346721,0.7820639912523469,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,66,reconstructed,0.3614700078928863,0.3614700078928863,0.0,0.021063897586379478,0.021359945886053132,0.0002960482996736541,,,,"{""bulge"": -0.0016132906987377912, ""chord_length"": 0.7827659778045682, ""conservative_fallback"": false, ""curvature_midpoint"": 0.021063897586379478, ""fallback_reasons"": []}",-0.0016132906987377912,0.7827659778045682,False,[]
QUASI,QUASI (frozen Cartesian port),ellipses,1,128,40,67,reconstructed,0.31825555887033163,0.31825555887033163,0.0,0.02251028105769511,0.021409997631061387,0.001100283426633722,,,,"{""bulge"": -0.0017282465712044912, ""chord_length"": 0.783713606189922, ""conservative_fallback"": false, ""curvature_midpoint"": 0.02251028105769511, ""fallback_reasons"": []}",-0.0017282465712044912,0.783713606189922,False,[]
