method,variant,benchmark,case_index,cells_per_side,cell_x,cell_y,status,target_phase_area,reconstructed_phase_area,absolute_area_residual,curvature_estimate,true_curvature,curvature_absolute_error,objective,optimizer_success,ghf_method,diagnostics_json,bulge,chord_length,conservative_fallback,fallback_reasons_json
QUASI,QUASI (frozen Cartesian port),lines,0,128,0,64,reconstructed,0.2674777814437057,0.2674777814437057,0.0,1.5674733443360365,0.0,1.5674733443360365,,,,"{""bulge"": -0.13654011001949223, ""chord_length"": 0.8347857667150135, ""conservative_fallback"": false, ""curvature_midpoint"": 1.5674733443360365, ""fallback_reasons"": []}",-0.13654011001949223,0.8347857667150135,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,1,64,reconstructed,0.2674777814437057,0.2674777814437057,0.0,0.35657144686341263,0.0,0.35657144686341263,,,,"{""bulge"": 0.027381035389285737, ""chord_length"": 0.7837844538955848, ""conservative_fallback"": false, ""curvature_midpoint"": -0.35657144686341263, ""fallback_reasons"": []}",0.027381035389285737,0.7837844538955848,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,2,64,reconstructed,0.26747778144370216,0.26747778144370216,0.0,0.09479127144762645,0.0,0.09479127144762645,,,,"{""bulge"": -0.007235306384810498, ""chord_length"": 0.781428564401328, ""conservative_fallback"": false, ""curvature_midpoint"": 0.09479127144762645, ""fallback_reasons"": []}",-0.007235306384810498,0.781428564401328,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,3,64,reconstructed,0.26747778144370926,0.26747778144370926,0.0,0.02538510272518741,0.0,0.02538510272518741,,,,"{""bulge"": 0.001936793118971614, ""chord_length"": 0.7812628033535509, ""conservative_fallback"": false, ""curvature_midpoint"": -0.02538510272518741, ""fallback_reasons"": []}",0.001936793118971614,0.7812628033535509,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,4,64,reconstructed,0.26747778144371637,0.26747778144371637,0.0,0.006801645394682381,0.0,0.006801645394682381,,,,"{""bulge"": -0.0005189255828213659, ""chord_length"": 0.7812509191516975, ""conservative_fallback"": false, ""curvature_midpoint"": 0.006801645394682381, ""fallback_reasons"": []}",-0.0005189255828213659,0.7812509191516975,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,5,64,reconstructed,0.26747778144368795,0.26747778144368795,0.0,0.0018224897663428384,0.0,0.0018224897663428384,,,,"{""bulge"": 0.00013904495805600568, ""chord_length"": 0.7812500659916314, ""conservative_fallback"": false, ""curvature_midpoint"": -0.0018224897663428384, ""fallback_reasons"": []}",0.00013904495805600568,0.7812500659916314,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,6,64,reconstructed,0.2674777814437306,0.2674777814437306,0.0,0.000488334402378788,0.0,0.000488334402378788,,,,"{""bulge"": -3.725695864119771e-05, ""chord_length"": 0.781250004737979, ""conservative_fallback"": false, ""curvature_midpoint"": 0.000488334402378788, ""fallback_reasons"": []}",-3.725695864119771e-05,0.781250004737979,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,7,64,reconstructed,0.26747778144368795,0.26747778144368795,0.0,0.0001308487299163583,0.0,0.0001308487299163583,,,,"{""bulge"": 9.982965853142262e-06, ""chord_length"": 0.781250000340171, ""conservative_fallback"": false, ""curvature_midpoint"": -0.0001308487299163583, ""fallback_reasons"": []}",9.982965853142262e-06,0.781250000340171,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,8,64,reconstructed,0.26747778144368795,0.26747778144368795,0.0,3.506075620322428e-05,0.0,3.506075620322428e-05,,,,"{""bulge"": -2.6749234165509333e-06, ""chord_length"": 0.7812500000244231, ""conservative_fallback"": false, ""curvature_midpoint"": 3.506075620322428e-05, ""fallback_reasons"": []}",-2.6749234165509333e-06,0.7812500000244231,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,9,64,reconstructed,0.2674777814437448,0.2674777814437448,0.0,9.39450001710288e-06,0.0,9.39450001710288e-06,,,,"{""bulge"": 7.167434705463449e-07, ""chord_length"": 0.7812500000017535, ""conservative_fallback"": false, ""curvature_midpoint"": -9.39450001710288e-06, ""fallback_reasons"": []}",7.167434705463449e-07,0.7812500000017535,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,10,64,reconstructed,0.26747778144368795,0.26747778144368795,0.0,2.517261028288578e-06,0.0,2.517261028288578e-06,,,,"{""bulge"": -1.920517752295982e-07, ""chord_length"": 0.7812500000001259, ""conservative_fallback"": false, ""curvature_midpoint"": 2.517261028288578e-06, ""fallback_reasons"": []}",-1.920517752295982e-07,0.7812500000001259,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,11,64,reconstructed,0.26747778144368795,0.26747778144368795,0.0,6.744618415832287e-07,0.0,6.744618415832287e-07,,,,"{""bulge"": 5.145735485712007e-08, ""chord_length"": 0.781250000000009, ""conservative_fallback"": false, ""curvature_midpoint"": -6.744618415832287e-07, ""fallback_reasons"": []}",5.145735485712007e-08,0.781250000000009,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,12,64,reconstructed,0.26747778144371637,0.26747778144371637,0.0,1.8077301979064894e-07,0.0,1.8077301979064894e-07,,,,"{""bulge"": -1.3791886885883275e-08, ""chord_length"": 0.7812500000000007, ""conservative_fallback"": false, ""curvature_midpoint"": 1.8077301979064894e-07, ""fallback_reasons"": []}",-1.3791886885883275e-08,0.7812500000000007,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,13,64,reconstructed,0.2674777814437448,0.2674777814437448,0.0,4.840850830078122e-08,0.0,4.840850830078122e-08,,,,"{""bulge"": 3.6932760849595063e-09, ""chord_length"": 0.7812500000000001, ""conservative_fallback"": false, ""curvature_midpoint"": -4.840850830078122e-08, ""fallback_reasons"": []}",3.6932760849595063e-09,0.7812500000000001,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,14,64,reconstructed,0.26747778144368795,0.26747778144368795,0.0,1.2963294982910155e-08,0.0,1.2963294982910155e-08,,,,"{""bulge"": -9.890209184959531e-10, ""chord_length"": 0.78125, ""conservative_fallback"": false, ""curvature_midpoint"": 1.2963294982910155e-08, ""fallback_reasons"": []}",-9.890209184959531e-10,0.78125,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,15,64,reconstructed,0.26747778144368795,0.26747778144368795,0.0,3.481864929199219e-09,0.0,3.481864929199219e-09,,,,"{""bulge"": 2.6564521249383687e-10, ""chord_length"": 0.78125, ""conservative_fallback"": false, ""curvature_midpoint"": -3.481864929199219e-09, ""fallback_reasons"": []}",2.6564521249383687e-10,0.78125,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,16,64,reconstructed,0.2674777814437448,0.2674777814437448,0.0,9.369850158691405e-10,0.0,9.369850158691405e-10,,,,"{""bulge"": -7.148628355935215e-11, ""chord_length"": 0.78125, ""conservative_fallback"": false, ""curvature_midpoint"": 9.369850158691405e-10, ""fallback_reasons"": []}",-7.148628355935215e-11,0.78125,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,17,64,reconstructed,0.2674777814436311,0.2674777814436311,0.0,2.446174621582031e-10,0.0,2.446174621582031e-10,,,,"{""bulge"": 1.8662831280380487e-11, ""chord_length"": 0.78125, ""conservative_fallback"": false, ""curvature_midpoint"": -2.446174621582031e-10, ""fallback_reasons"": []}",1.8662831280380487e-11,0.78125,False,[]
QUASI,QUASI (frozen Cartesian port),lines,0,128,18,64,reconstructed,0.2674777814437448,0.2674777814437448,0.0,7.724761962890625e-11,0.0,7.724761962890625e-11,,,,"{""bulge"": -5.893525667488575e-12, ""chord_length"": 0.78125, ""conservative_fallback"": false, ""curvature_midpoint"": 7.724761962890625e-11, ""fallback_reasons"": []}",-5.893525667488575e-12,0.78125,False,[]
