method,variant,benchmark,cells_per_side,cases,sampled_hausdorff_median,sampled_hausdorff_max,sampled_hausdorff_nonfinite_cases,sampled_reconstruction_to_truth_median,sampled_reconstruction_to_truth_max,sampled_reconstruction_to_truth_nonfinite_cases,shared_edge_gap_mean_median,shared_edge_gap_mean_max,shared_edge_gap_mean_nonfinite_cases,shared_edge_gap_max_median,shared_edge_gap_max_max,shared_edge_gap_max_nonfinite_cases,conservation_max_absolute_residual_median,conservation_max_absolute_residual_max,conservation_max_absolute_residual_nonfinite_cases,curvature_estimator_median_absolute_error_median,curvature_estimator_median_absolute_error_max,curvature_estimator_median_absolute_error_nonfinite_cases,runtime_seconds_median,runtime_seconds_max,runtime_seconds_nonfinite_cases,mixed_cells_total,reconstructed_cells_total,paper_fallback_cells_total,unsupported_cells_total,unresolved_cells_total,optimizer_failures_total,unmatched_crossings_total,unresolved_fraction,conservative_fallback_cells_total,conservative_fallback_cells_median,unresolved_events_total,unresolved_events_median,joins_total,joins_median,c1_updates_total,c1_updates_median,c1_misses_total,c1_misses_median,curvature_updates_total,curvature_updates_median,vertex_jumps_total,vertex_jumps_median,sweeps_completed_total,sweeps_completed_median,sweep_converged_cases,sweep_converged_fraction
QUASI,QUASI (frozen Cartesian port),circles,32,5,0.27987219031358856,1.6028265776768345,0,0.27987219031358856,1.6028265776768345,0,0.0,0.0,0,0.0,0.0,0,0.0,2.220446049250313e-16,0,0.0012366680083476106,0.0024360296235124285,0,0.3845502909999965,0.40900841699999546,0,131,127,4,0,0,0,0,0.0,4,0.0,4,0.0,130,26.0,1263,259.0,37,1.0,0,0.0,0,0.0,50,10.0,0,0.0
QUASI,QUASI (frozen Cartesian port),circles,64,5,0.7349882994570985,0.8444464273295084,0,0.7349882994570985,0.8444464273295084,0,0.0,0.0,0,0.0,0.0,0,1.734723475976807e-18,2.7755575615628914e-17,0,0.00032484172758741325,0.00033436427849035943,0,0.714319666999998,0.7625652910000014,0,252,249,3,0,0,0,0,0.0,3,1.0,3,1.0,250,50.0,2422,485.0,78,14.0,0,0.0,0,0.0,50,10.0,0,0.0
QUASI,QUASI (frozen Cartesian port),circles,128,5,0.4682211281358709,0.48872553367225,0,0.4682211281358709,0.48872553367225,0,0.0,0.0,0,0.0,0.0,0,1.3877787807814457e-17,5.551115123125783e-17,0,8.055835115320514e-05,0.00017580720672421418,0,1.462465625,1.504105041999999,0,511,509,2,0,0,0,0,0.0,2,0.0,2,0.0,510,102.0,5067,1020.0,33,1.0,0,0.0,0,0.0,50,10.0,0,0.0
QUASI,QUASI (frozen Cartesian port),ellipses,32,5,1.7222056147369325,1.8578947362482832,0,1.7222056147369325,1.8578947362482832,0,0.0,0.0,0,0.0,0.0,0,5.551115123125783e-17,1.249000902703301e-16,0,0.0005114441808883978,0.0006100683118258794,0,0.896354708000004,1.0287173749999994,0,310,310,0,0,0,0,0,0.0,0,0.0,0,0.0,310,62.0,3033,603.0,67,13.0,0,0.0,0,0.0,50,10.0,0,0.0
QUASI,QUASI (frozen Cartesian port),ellipses,64,5,0.8980304809310341,0.9802594722518992,0,0.8980304809310341,0.9802594722518992,0,0.0,0.0,0,0.0,0.0,0,1.9081958235744878e-17,2.220446049250313e-16,0,0.00028676260436856504,0.0005620370865320815,0,1.780550415999997,1.8323107080000085,0,624,624,0,0,0,0,0,0.0,0,0.0,0,0.0,624,124.0,6086,1233.0,154,15.0,0,0.0,0,0.0,50,10.0,0,0.0
QUASI,QUASI (frozen Cartesian port),ellipses,128,5,0.4586817349530003,0.4745573924669133,0,0.4586817349530003,0.4745573924669133,0,0.0,0.0,0,0.0,0.0,0,2.7755575615628914e-17,5.551115123125783e-17,0,0.00014167751990021293,0.0004631300148385531,0,3.5560416249999918,3.719051209,0,1250,1249,0,0,1,0,0,0.0008,0,0.0,0,0.0,1249,248.0,12117,2446.0,363,74.0,1,0.0,1,0.0,50,10.0,0,0.0
QUASI,QUASI (frozen Cartesian port),lines,32,5,1.7980282694162788,2.97802241065684,0,1.7980282694162788,2.97802241065684,0,0.0,0.0,0,0.0,0.0,0,0.0,4.440892098500626e-16,0,9.645087159024224e-05,0.018106005449077495,0,0.6897490830000006,0.8746705420000005,0,238,232,6,0,0,0,3,0.0,6,2.0,3,1.0,230,48.0,2261,480.0,39,0.0,0,0.0,0,0.0,50,10.0,0,0.0
QUASI,QUASI (frozen Cartesian port),lines,64,5,0.8976338703352605,1.0648707274722702,0,0.8976338703352605,1.0648707274722702,0,0.0,0.0,0,0.0,0.0,0,1.1102230246251565e-16,1.1102230246251565e-16,0,5.027490833511878e-05,0.02839230232384977,0,1.3807456669999993,1.7807491659999997,0,474,469,4,0,1,0,2,0.002109704641350211,4,0.0,2,0.0,466,98.0,4568,980.0,92,1.0,0,0.0,0,0.0,50,10.0,0,0.0
QUASI,QUASI (frozen Cartesian port),lines,128,5,0.4486182751243281,0.5300836210550217,0,0.4486182751243281,0.5300836210550217,0,0.0,0.0,0,0.0,0.0,0,1.3877787807814457e-17,5.551115123125783e-17,0,0.00011517346517188679,0.010525559363328468,0,2.800591624999999,3.6423354580000016,0,946,942,4,0,0,0,2,0.0,4,0.0,2,0.0,939,197.0,9189,1960.0,201,4.0,1,0.0,0,0.0,50,10.0,0,0.0
QUASI,QUASI (frozen Cartesian port),squares,32,5,1.1890621616690504,2.7146382932493283,0,0.7562922330291257,2.7146382932493283,0,0.0,0.0,0,0.0,0.0,0,1.1102230246251565e-16,4.440892098500626e-16,0,0.1641014357810195,0.21491675021737006,0,0.2251342919999999,0.3135392080000017,0,85,68,17,0,0,0,5,0.0,17,4.0,10,2.0,78,16.0,770,160.0,10,0.0,0,0.0,0,0.0,50,10.0,0,0.0
