benchmark,case_index,cells_per_side,mixed_cells,joins,runtime_seconds,sweeps_completed,converged,c1_residual_below_1e_8,diagnostic_converged,initial_max_update_displacement,final_max_update_displacement,final_max_net_endpoint_displacement,final_max_two_sweep_endpoint_displacement,final_max_c1_mismatch,tail_log10_slope_per_sweep,tail_root_branch_switches,tail_misses,classification
circles,0,64,49,48,8.352532125,100,False,False,False,0.05739627069335227,5.915979511827985e-11,5.915978817938594e-11,0.0,0.0003650719599146091,-1.819188777387369e-07,0,60,persistent inadmissible C1 joins
circles,1,64,50,50,8.676007583,100,False,True,False,0.04288778824943233,3.61259633319122e-11,3.6123992686043493e-11,0.0,7.31749018510023e-09,2.665693036434283e-07,0,0,two-sweep oscillation
circles,2,64,50,50,2.210811417000002,26,True,False,False,0.9840264952433009,4.621823757045007e-12,4.618527782440651e-12,1.9106494164589094e-11,0.07873045435447928,-0.4586940424217053,0,53,persistent inadmissible C1 joins
circles,3,64,52,52,2.948831042000002,32,True,False,False,0.5474881237938432,6.0722260553092156e-12,6.0751403907488566e-12,1.4175327578413999e-11,0.006033773508609096,-0.4567179404052103,0,90,persistent inadmissible C1 joins
circles,4,64,51,50,2.82520375,32,True,True,True,0.08396382889276355,6.982088518459051e-12,6.984635092521785e-12,2.297184664712404e-11,3.7196684837552756e-09,-0.4525775978982723,0,0,converged
ellipses,0,64,128,128,22.344207625000003,100,False,False,False,1.160442878747224,1.0746299683450644e-10,1.0746248335635755e-10,1.0185985388488916e-10,1.3390896584215475e-06,-0.0015240047550043757,0,40,persistent inadmissible C1 joins
ellipses,1,64,126,126,22.527190125,100,False,False,False,0.08246615464479937,2.0629158103968592e-11,2.063416104647331e-11,0.0,2.1605134117644125e-05,-9.609163072217439e-07,0,40,persistent inadmissible C1 joins
ellipses,2,64,124,124,21.602273708000002,100,False,True,False,1.4437323403819662,2.8436801524645006e-11,2.843592028511921e-11,6.760814130757353e-12,5.178518562244651e-09,-1.5935348628445087e-07,0,0,plateau
ellipses,3,64,122,122,21.548093040999998,100,False,False,False,1.1662568359521286,7.50660297810235e-10,7.506599786211154e-10,0.0,0.8932353858592709,-1.961966202117591e-08,0,160,persistent inadmissible C1 joins
ellipses,4,64,124,124,22.175950250000007,100,False,False,False,1.3965015234181706,1.0703417319124497e-11,1.0700773600547109e-11,3.1164404390437994e-11,0.9162157728823282,-0.0031178430947545006,0,80,persistent inadmissible C1 joins
lines,0,64,64,63,2.7757738750000005,21,True,True,True,0.10089036385715903,4.93424745506843e-12,4.931166586175095e-12,1.504218971604132e-11,1.9028084352612158e-11,-0.5076268267020418,0,0,converged
lines,1,64,80,79,4.131064916,28,True,True,True,1.1329142487682693,3.6132555281120915e-12,3.61666252501891e-12,1.644551161916752e-11,2.2286230209887057e-09,-0.5105639373497427,0,0,converged
lines,2,64,99,98,17.422445583000002,100,False,True,False,1.4441198943445288,1.853664791107157e-11,1.8530954548623413e-11,0.0,1.850836026671495e-09,9.32166630678453e-07,0,0,two-sweep oscillation
lines,3,64,125,123,21.937839083,100,False,False,False,0.07790476825976655,4.1757760443905667e-10,4.175788603788533e-10,5.027089855502709e-11,0.9826430248935522,-3.662579459465789e-08,0,220,persistent inadmissible C1 joins
lines,4,64,105,103,18.058431458,100,False,True,False,1.5403522236900016,1.727781112625948e-10,1.7277912434110476e-10,2.4996893444040325e-11,2.511022891985088e-09,-0.00013434270055969678,0,0,slow decay
squares,0,64,31,30,1.1641135,23,True,True,True,1.1295601740545491,9.144551435524839e-12,9.14468500923249e-12,5.3518078857450746e-11,3.43130705305081e-10,-0.49112229081525927,1,0,converged
squares,1,64,30,29,1.1674014580000005,23,True,True,True,0.2638289044688664,6.8953523446602105e-12,6.892264536872972e-12,3.12283532366564e-11,5.053129748896781e-10,-0.5212067701745094,1,0,converged
squares,2,64,32,32,1.2830544170000007,19,True,True,True,1.178974124621413,8.29709564942327e-12,8.29913915367797e-12,2.9388047551037744e-11,1.6140074554511255e-09,-0.599371467383478,3,4,converged
squares,3,64,36,35,1.416727250000001,21,True,True,True,0.7108795161657642,5.751475684601104e-12,5.7482907322992105e-12,2.169286972275586e-11,6.275810468324154e-10,-0.5374832848367543,2,0,converged
squares,4,64,48,48,8.638024667000002,100,False,False,False,0.39609438552894494,2.3255746287031975e-11,2.325606374142808e-11,0.0,0.33066997932923403,-2.2529906814763522e-07,0,60,persistent inadmissible C1 joins
zalesak,0,64,111,111,20.259458709000008,100,False,False,False,0.8261679018494558,1.704478355332717e-10,1.7044499145413283e-10,8.135714324453147e-11,0.13825951308496193,-8.168748255441072e-05,0,100,persistent inadmissible C1 joins
zalesak,1,64,117,114,20.96085920800001,100,False,True,False,1.3374082043036604,1.822830081321669e-11,1.822542117224657e-11,1.2505552149377763e-11,6.981985192517061e-09,3.263080121526892e-07,0,0,plateau
zalesak,2,64,121,118,20.634052167,100,False,False,False,0.8904456319498408,2.4577909152334598e-11,2.4577673229941865e-11,1.5056400570756523e-11,0.9423212563651795,2.1319347158428845e-07,0,80,persistent inadmissible C1 joins
zalesak,3,64,114,114,18.302962875000006,100,False,False,False,1.438084111791354,3.527577535633597e-11,3.5278446830488974e-11,0.0,0.00010487426115169632,-1.6057772204129594e-08,0,20,persistent inadmissible C1 joins
zalesak,4,64,119,116,18.211437667,100,False,False,False,1.3426794140795064,5.87071190272237e-11,5.870504082849948e-11,0.0,0.889784567949083,1.5920866081692663e-07,0,100,persistent inadmissible C1 joins
