benchmark,case_index,cells_per_side,sweep,updates,misses,multiple_root_updates,root_branch_switches,max_update_displacement,mean_update_displacement,max_net_endpoint_displacement,max_two_sweep_endpoint_displacement,mean_c1_mismatch_before,max_c1_mismatch_before,mean_c1_mismatch_after,max_c1_mismatch_after,max_area_residual
circles,0,64,1,46,2,17,0,0.05739627069335227,0.02381710890703194,0.05739627069335285,0.0,0.2876907005498599,0.9401819199809751,0.0538751618493176,0.630202188054827,0.0
circles,0,64,2,47,1,17,0,0.015675415555000197,0.005048554838729311,0.015675415555001848,0.04911728152725914,0.0538751618493176,0.630202188054827,0.021455926667940457,0.6297823362579638,0.0
circles,0,64,3,45,3,17,0,0.003352760577964454,0.0009671202022467655,0.003352760577961078,0.01693508266028232,0.021455926667940457,0.6297823362579638,0.015282374250005814,0.6289984881854928,0.0
circles,0,64,4,48,0,17,0,0.02263697782901187,0.0007804755287809335,0.022636977829009197,0.022636977829009197,0.015282374250005814,0.6289984881854928,0.007483919555294182,0.31876413825180183,0.0
circles,0,64,5,47,1,17,0,0.015237473542141977,0.0005375531963536539,0.01523747354214322,0.027973746375224096,0.007483919555294182,0.31876413825180183,0.0019897243953181476,0.07019643991227413,0.0
circles,0,64,6,48,0,17,0,0.0029083018696603245,0.00015916196724967283,0.002908301869659624,0.018145775411802845,0.0019897243953181476,0.07019643991227413,0.000577768950938248,0.016218387568299804,0.0
circles,0,64,7,46,2,18,0,0.0009107652433948399,5.5253005780488285e-05,0.0009107652433968383,0.0035663032816870555,0.000577768950938248,0.016218387568299804,0.000264939951200094,0.00810126076777718,0.0
circles,0,64,8,45,3,18,0,0.0003240890080546434,1.648400511215278e-05,0.00032408900805336316,0.0012348542514502014,0.000264939951200094,0.00810126076777718,0.0002215156800233673,0.008166624823098895,0.0
circles,0,64,9,47,1,18,0,9.583972857231046e-05,6.547935619486406e-06,9.583972857285517e-05,0.0004199287366262183,0.0002215156800233673,0.008166624823098895,0.00019068667208744765,0.008175826967003287,0.0
circles,0,64,10,47,1,18,0,0.0003110341090625107,9.477819634312984e-06,0.0003110341090604152,0.0003110341090604152,0.00019068667208744765,0.008175826967003287,9.060275059658627e-05,0.0038626378762700443,0.0
circles,0,64,11,46,2,18,0,0.0001514957034816941,5.558743434758678e-06,0.00015149570348427233,0.0003814834065636319,9.060275059658627e-05,0.0038626378762700443,2.894727610786528e-05,0.0008721981828898677,0.0
